nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at
NCT04351542,"ClinicalTrials.gov processed this data on January 29, 2021",4/14/2020,,,4/15/2020,4/15/2020,4/17/2020,Actual,,,,,,,4/15/2020,4/17/2020,Actual,"March 6, 2020",Actual,3/6/2020,April 2020,4/30/2020,"April 12, 2020",Actual,4/12/2020,"April 6, 2020",Actual,4/6/2020,,Interventional,,,Ayurveda for Flu Like Illness During Covid-19 Outbreak,Ayurveda for Flu-like Illness During the Covid 19 Outbreak: Non Randomised Single-blind Controlled Trial,Completed,,N/A,32,Actual,Aarogyam UK,,2,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:29:44 AM,2/1/2021 7:29:44 AM
NCT04402983,"ClinicalTrials.gov processed this data on January 29, 2021",5/22/2020,,,12/11/2020,5/22/2020,5/27/2020,Actual,,,,,,,12/11/2020,12/14/2020,Actual,"May 27, 2020",Actual,5/27/2020,May 2020,5/31/2020,"December 1, 2020",Actual,12/1/2020,"December 1, 2020",Actual,12/1/2020,,Interventional,,,The Effectiveness of Telerehabilitation-Based Physiotherapy in COVID 19 Patients,The Effectiveness of Telerehabilitation-Based Physiotherapy in COVID 19 Patients,Completed,,N/A,34,Actual,Istanbul Medipol University Hospital,,2,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:21:04 AM,2/1/2021 7:21:04 AM
NCT04551781,"ClinicalTrials.gov processed this data on January 29, 2021",9/13/2020,,,9/14/2020,9/14/2020,9/16/2020,Actual,,,,,,,9/14/2020,9/16/2020,Actual,"April 1, 2020",Actual,4/1/2020,September 2020,9/30/2020,"July 30, 2020",Actual,7/30/2020,"July 30, 2020",Actual,7/30/2020,,Interventional,,,Short Term Low Dose Corticosteroids for Management of Post covid19 Pulmonary Fibrosis,Short Term Low Dose Corticosteroids for Management of Post Covid-19 Pulmonary Fibrosis,Completed,,N/A,450,Actual,South Valley University,,2,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:01:07 AM,2/1/2021 7:01:07 AM
NCT04629755,"ClinicalTrials.gov processed this data on January 29, 2021",11/9/2020,,,11/17/2020,11/9/2020,11/16/2020,Actual,,,,,,,11/17/2020,11/19/2020,Actual,"April 4, 2020",Actual,4/4/2020,November 2020,11/30/2020,"August 3, 2020",Actual,8/3/2020,"August 3, 2020",Actual,8/3/2020,,Interventional,,,A Smartphone Intervention for Relational and Mental Well Being,A Smartphone Intervention for Relational and Mental Well Being,Completed,,N/A,1765,Actual,University of Washington,,2,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 6:50:30 AM,2/1/2021 6:50:30 AM
NCT04420806,"ClinicalTrials.gov processed this data on January 29, 2021",6/5/2020,,,11/12/2020,6/5/2020,6/9/2020,Actual,,,,,,,11/12/2020,11/13/2020,Actual,"March 14, 2020",Actual,3/14/2020,November 2020,11/30/2020,"October 30, 2020",Actual,10/30/2020,"July 30, 2020",Actual,7/30/2020,,Interventional,,,Effects of COVID-19 Lockdown in Exercising Early Postmenopausal Women,Effects of Three Months of COVID-19 Lockdown Induced Deconditioning After 13 Months of High Intensity Exercise Training in Early Postmenopausal Women,Completed,,N/A,21,Actual,University of Erlangen-Nürnberg Medical School,,2,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:18:44 AM,2/1/2021 7:18:44 AM
NCT04573361,"ClinicalTrials.gov processed this data on January 29, 2021",9/29/2020,,,9/30/2020,9/30/2020,10/5/2020,Actual,,,,,,,9/30/2020,10/5/2020,Actual,"May 2, 2020",Actual,5/2/2020,September 2020,9/30/2020,"May 27, 2020",Actual,5/27/2020,"May 27, 2020",Actual,5/27/2020,,Interventional,,,Access to Chiropractic Care During the COVID-19 Healthcare Emergency in Spain,Access to Chiropractic Care During the State of Emergency Generated by the COVID-19 Pandemic in Spain: a Pragmatic Controlled Trial,Completed,,N/A,723,Actual,Real Centro Universitario Maria Cristina,,3,,,False,,,,False,False,False,,,,,,,,,Undecided,"All collected IPD will be shared, though a next phase of the study is being debated, which is why we are still undecided.",2/1/2021 6:58:11 AM,2/1/2021 6:58:11 AM
NCT04403646,"ClinicalTrials.gov processed this data on January 29, 2021",5/22/2020,,,12/19/2020,5/26/2020,5/27/2020,Actual,,,,,,,12/19/2020,12/22/2020,Actual,"June 12, 2020",Actual,6/12/2020,December 2020,12/31/2020,"November 1, 2020",Actual,11/1/2020,"October 20, 2020",Actual,10/20/2020,,Interventional,TanCOVID,,Tannin Specific Natural Extract for COVID-19 Infection,Efficacy of Tannin Specific Natural Extract for Coronavirus Disease (COVID-19): Randomized Controlled Trial,Terminated,,N/A,124,Actual,Hospital de Clinicas José de San Martín,,2,,low rate of covid patients,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:20:51 AM,2/1/2021 7:20:51 AM
NCT04407286,"ClinicalTrials.gov processed this data on January 29, 2021",5/19/2020,,,11/30/2020,5/27/2020,5/29/2020,Actual,,,,,,,11/30/2020,12/2/2020,Actual,"May 19, 2020",Actual,5/19/2020,November 2020,11/30/2020,"November 30, 2020",Actual,11/30/2020,"August 30, 2020",Actual,8/30/2020,,Interventional,,,Vitamin D Testing and Treatment for COVID 19,Vitamin D Testing and Treatment for Adults With COVID 19,Completed,,Phase 1,41,Actual,Arizona State University,,1,,,False,,,,False,False,False,,,,,,,,,Undecided,Contact us if you wish to discuss sharing of de-identified data,2/1/2021 7:20:26 AM,2/1/2021 7:20:26 AM
NCT04346446,"ClinicalTrials.gov processed this data on January 29, 2021",4/14/2020,,,6/11/2020,4/14/2020,4/15/2020,Actual,,,,,,,6/11/2020,6/12/2020,Actual,"April 20, 2020",Actual,4/20/2020,June 2020,6/30/2020,"May 30, 2020",Actual,5/30/2020,"May 30, 2020",Actual,5/30/2020,,Interventional,,,Efficacy of Convalescent Plasma Therapy in Severely Sick COVID-19 Patients,Efficacy of Convalescent Plasma Therapy in Severely Sick COVID-19 Patients: A Pilot Randomized Controlled Trial,Completed,,Phase 2,29,Actual,"Institute of Liver and Biliary Sciences, India",,2,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:30:45 AM,2/1/2021 7:30:45 AM
NCT04705753,"ClinicalTrials.gov processed this data on January 29, 2021",1/6/2021,,,1/11/2021,1/11/2021,1/12/2021,Actual,,,,,,,1/11/2021,1/12/2021,Actual,"April 1, 2020",Actual,4/1/2020,January 2021,1/31/2021,"October 15, 2020",Actual,10/15/2020,"October 15, 2020",Actual,10/15/2020,,Interventional,COVID-19-IAMA,,"Assessment of the Clinical Effectiveness of a Herbal Extract (Cretan IAMA) in Patients With Viral Respiratory Infections, Including COVID-19, in Primary Healthcare Settings, and Co-assessment of Its Prophylactic Effect in People Cohabiting With These Patients","Evaluation of the Clinical Outcomes and the Quality of Life of Patients Exhibiting Symptoms Characteristic of Viral Respiratory Infection (VRI), Including Infection by SARS-CoV-2 (COVID-19), and Assessment of the Clinical Effectiveness of a Herbal Extract (Cretan IAMA) in These Patients and the People Cohabiting With Them Via an Open-label, Single-arm Trial",Completed,,Phase 2/Phase 3,20,Actual,University of Crete,,1,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 6:40:49 AM,2/1/2021 6:40:49 AM
NCT04261517,"ClinicalTrials.gov processed this data on January 29, 2021",2/6/2020,,,4/9/2020,2/6/2020,2/7/2020,Actual,,,,,,,4/9/2020,4/13/2020,Actual,"February 6, 2020",Actual,2/6/2020,April 2020,4/30/2020,"February 25, 2020",Actual,2/25/2020,"February 25, 2020",Actual,2/25/2020,,Interventional,,,Efficacy and Safety of Hydroxychloroquine for Treatment of COVID-19,Efficacy and Safety of Hydroxychloroquine for Treatment of COVID-19,Completed,,Phase 3,30,Actual,Shanghai Public Health Clinical Center,,2,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:46:24 AM,2/1/2021 7:46:24 AM
NCT04257656,"ClinicalTrials.gov processed this data on January 29, 2021",1/31/2020,,,4/13/2020,2/3/2020,2/6/2020,Actual,,,,,,,4/13/2020,4/15/2020,Actual,"February 6, 2020",Actual,2/6/2020,April 2020,4/30/2020,"April 10, 2020",Actual,4/10/2020,"March 30, 2020",Actual,3/30/2020,,Interventional,,,A Trial of Remdesivir in Adults With Severe COVID-19,"A Phase 3 Randomized, Double-blind, Placebo-controlled, Multicenter Study to Evaluate the Efficacy and Safety of Remdesivir in Hospitalized Adult Patients With Severe COVID-19.",Terminated,,Phase 3,237,Actual,Capital Medical University,,2,,"The epidemic of COVID-19 has been controlled well in China, no eligible patients can be~   enrolled at present.",False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:47:00 AM,2/1/2021 7:47:00 AM
NCT04345276,"ClinicalTrials.gov processed this data on January 29, 2021",4/10/2020,,,6/1/2020,4/10/2020,4/14/2020,Actual,,,,,,,6/1/2020,6/2/2020,Actual,"March 18, 2020",Actual,3/18/2020,March 2020,3/31/2020,"April 15, 2020",Actual,4/15/2020,"April 15, 2020",Actual,4/15/2020,,Interventional,,,Efficacy and Safety of Ganovo (Danoprevir) Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection,An Open Clinical Trial to Evaluate Danoprevir Sodium Tablets Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection,Completed,,Phase 4,10,Actual,Huoshenshan Hospital,,1,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:30:56 AM,2/1/2021 7:30:56 AM
NCT04291729,"ClinicalTrials.gov processed this data on January 29, 2021",2/27/2020,,,4/9/2020,2/28/2020,3/2/2020,Actual,,,,,,,4/9/2020,4/13/2020,Actual,"February 17, 2020",Actual,2/17/2020,March 2020,3/31/2020,"March 19, 2020",Actual,3/19/2020,"March 19, 2020",Actual,3/19/2020,,Interventional,,,Evaluation of Ganovo （Danoprevir ） Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection,An Open Clinical Trial to Evaluate Ganovo（Danoprevir ） Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection,Completed,,Phase 4,11,Actual,The Ninth Hospital of Nanchang,,1,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:40:21 AM,2/1/2021 7:40:21 AM
NCT04355871,"ClinicalTrials.gov processed this data on January 29, 2021",4/19/2020,,,5/8/2020,4/19/2020,4/21/2020,Actual,,,,,,,5/8/2020,5/11/2020,Actual,"March 18, 2020",Actual,3/18/2020,April 2020,4/30/2020,"April 17, 2020",Actual,4/17/2020,"April 15, 2020",Actual,4/15/2020,,Observational,COVID19@Spain,,Characteristics and Outcomes of Hospitalized Patients With COVID-19 in Spain,Characteristics and Predictors of Death Among Hospitalized Patients With COVID-19 in Spain,Completed,,,4035,Actual,Fundacion SEIMC-GESIDA,,,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:28:59 AM,2/1/2021 7:28:59 AM
NCT04343339,"ClinicalTrials.gov processed this data on January 29, 2021",4/8/2020,,,10/6/2020,4/8/2020,4/13/2020,Actual,,,,,,,10/6/2020,10/8/2020,Actual,"April 8, 2020",Actual,4/8/2020,April 2020,4/30/2020,"September 30, 2020",Actual,9/30/2020,"July 30, 2020",Actual,7/30/2020,,Observational,EPILOGUE,,Evolution of Psychoactive Substances Consumption in Connection With COVID-19 Containment,Evolution of Psychoactive Substances Consumption in Connection With COVID-19 Containment - EPILOGUE,Completed,,,100,Actual,"University Hospital, Montpellier",,,,,False,,,,False,False,False,,,,,,,,,Undecided,NC,2/1/2021 7:31:13 AM,2/1/2021 7:31:13 AM
NCT04412031,"ClinicalTrials.gov processed this data on January 29, 2021",5/29/2020,,,6/1/2020,6/1/2020,6/2/2020,Actual,,,,,,,6/1/2020,6/2/2020,Actual,"November 11, 2019",Actual,11/11/2019,May 2020,5/31/2020,"May 15, 2020",Actual,5/15/2020,"May 14, 2020",Actual,5/14/2020,,Observational,PredictCovid19,,Prediction of Unfavourable Outcome in Newly Covid-19 Hospitalized Patient,Bayesian Network to Predict Transfer in Intensive Care Units or Death in Newly Covid-19 Hospitalized Patient,Completed,,,802,Actual,Hospices Civils de Lyon,,,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:19:47 AM,2/1/2021 7:19:47 AM
NCT04492189,"ClinicalTrials.gov processed this data on January 29, 2021",4/19/2020,,,7/28/2020,7/28/2020,7/30/2020,Actual,,,,,,,7/28/2020,7/30/2020,Actual,"April 1, 2020",Actual,4/1/2020,June 2020,6/30/2020,"June 30, 2020",Actual,6/30/2020,"May 30, 2020",Actual,5/30/2020,,Observational,COVITA,,Containment Measures and Eating Disorders,Impact of Containment Measures in People With Eating Disorders: a Descriptive Study,Completed,,,40,Actual,"University Hospital, Montpellier",,,,,False,,,,False,False,False,,,,,,,,,Undecided,NC,2/1/2021 7:09:11 AM,2/1/2021 7:09:11 AM
NCT04422574,"ClinicalTrials.gov processed this data on January 29, 2021",6/8/2020,,,6/8/2020,6/8/2020,6/9/2020,Actual,,,,,,,6/8/2020,6/9/2020,Actual,"May 1, 2020",Actual,5/1/2020,June 2020,6/30/2020,"May 30, 2020",Actual,5/30/2020,"May 1, 2020",Actual,5/1/2020,,Observational,Pneumoserocov,,COVID 19 Serology in Pulmonologists,COVID 19 Serology in Pulmonologists : Pneumo Sero Cov,Completed,,,97,Actual,"University Hospital, Montpellier",,,,,False,,,,False,False,False,,,,,,,,,Undecided,NC,2/1/2021 7:18:32 AM,2/1/2021 7:18:32 AM
NCT04493268,"ClinicalTrials.gov processed this data on January 29, 2021",7/28/2020,,,7/29/2020,7/29/2020,7/30/2020,Actual,,,,,,,7/29/2020,7/30/2020,Actual,"March 7, 2020",Actual,3/7/2020,July 2020,7/31/2020,"July 21, 2020",Actual,7/21/2020,"July 20, 2020",Actual,7/20/2020,,Observational,,,HYPONATREMIA IN COVID-19 PATIENTS,HYPONATREMIA AND INFLAMMATION AND CLINICAL OUTCOMES IN HOSPITALIZED COVID-19 PATIENTS,Completed,,,250,Actual,Hospital Nacional Profesor Alejandro Posadas,,,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:09:03 AM,2/1/2021 7:09:03 AM
NCT04488549,"ClinicalTrials.gov processed this data on January 29, 2021",7/23/2020,,,7/25/2020,7/25/2020,7/28/2020,Actual,,,,,,,7/25/2020,7/28/2020,Actual,"May 20, 2020",Actual,5/20/2020,July 2020,7/31/2020,"June 10, 2020",Actual,6/10/2020,"June 10, 2020",Actual,6/10/2020,,Observational,DECOR-19,,Delayed Colorectal Cancer Care During Coronavirus Disease (COVID-19) Pandemic (DECOR-19),DElayed COloRectal Cancer Care During Coronavirus Disease (COVID-19) Pandemic (DECOR-19),Completed,,,1051,Actual,Treviso Regional Hospital,,,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:09:36 AM,2/1/2021 7:09:36 AM
NCT04488588,"ClinicalTrials.gov processed this data on January 29, 2021",7/24/2020,,,7/25/2020,7/25/2020,7/28/2020,Actual,,,,,,,7/25/2020,7/28/2020,Actual,"March 15, 2020",Actual,3/15/2020,July 2020,7/31/2020,"July 1, 2020",Actual,7/1/2020,"May 1, 2020",Actual,5/1/2020,,Observational,,,Survival and 30-days Hospital Outcome in COVID-19 Patients in Upper Egypt,Survival and 30-days Hospital Outcome in Hospitalized COVID-19 Patients in Upper Egypt: Multi-center Study,Completed,,,1064,Actual,Assiut University,,,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:09:36 AM,2/1/2021 7:09:36 AM
NCT04468802,"ClinicalTrials.gov processed this data on January 29, 2021",7/9/2020,,,7/10/2020,7/9/2020,7/13/2020,Actual,,,,,,,7/10/2020,7/14/2020,Actual,"February 1, 2020",Actual,2/1/2020,July 2020,7/31/2020,"July 1, 2020",Actual,7/1/2020,"June 30, 2020",Actual,6/30/2020,,Observational,,,Do Childhood Measles and DTaP Vaccination Decrease the Mortality Rate Caused by COVID-19 in OECD Countries?,Do Childhood Measles and DTaP Vaccination Decrease the Mortality Rate Caused by SARS CoV-2 in OECD Countries?,Completed,,,32,Actual,Kanuni Sultan Suleyman Training and Research Hospital,,,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:12:16 AM,2/1/2021 7:12:16 AM
NCT04462393,"ClinicalTrials.gov processed this data on January 29, 2021",7/6/2020,,,7/7/2020,7/7/2020,7/8/2020,Actual,,,,,,,7/7/2020,7/9/2020,Actual,"March 6, 2020",Actual,3/6/2020,July 2020,7/31/2020,"May 6, 2020",Actual,5/6/2020,"May 6, 2020",Actual,5/6/2020,,Observational,,,Characteristics and Outcomes of Patients Admitted to Swedish Intensive Care Units for COVID-19,Characteristics and Outcomes of Patients Admitted to Swedish Intensive Care Units for COVID-19 During the First 60 Days of the 2020 Pandemic,Completed,,,1563,Actual,Linkoeping University,,,,,False,,,,False,False,False,,,,,,,,,Undecided,Unidentified data will be shared conditional upon application to the CI,2/1/2021 7:13:12 AM,2/1/2021 7:13:12 AM
NCT04448782,"ClinicalTrials.gov processed this data on January 29, 2021",6/17/2020,,,7/13/2020,6/25/2020,6/26/2020,Actual,,,,,,,7/13/2020,7/14/2020,Actual,"March 9, 2020",Actual,3/9/2020,July 2020,7/31/2020,"June 30, 2020",Actual,6/30/2020,"June 30, 2020",Actual,6/30/2020,,Observational,,,Characterization of Reverse Triggering and Other Asynchronies in COVID-19 Patients Under Invasive Mechanical Ventilation,Characterization of Reverse Triggering and Other Asynchronies in COVID-19 Patients Under Invasive Mechanical Ventilation,Completed,,,32,Actual,Corporacion Parc Tauli,,,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:15:00 AM,2/1/2021 7:15:00 AM
NCT04506515,"ClinicalTrials.gov processed this data on January 29, 2021",8/3/2020,,,8/7/2020,8/7/2020,8/10/2020,Actual,,,,,,,8/7/2020,8/10/2020,Actual,"April 9, 2020",Actual,4/9/2020,August 2020,8/31/2020,"April 30, 2020",Actual,4/30/2020,"April 19, 2020",Actual,4/19/2020,,Observational,PSIMCOV,,Psychological Impact of COVID-19 Pandemic in Healthcare Workers,Psychological Impact of COVID-19 Pandemic in Healthcare Workers in Spain: A Cross-sectional Study. PSIMCOV Group,Completed,,,3000,Actual,Hospital General Universitario de Valencia,,,,,False,,,,False,False,False,,,,,,,,,Undecided,The investigators did not ask to the ethical committee board for data sharing approval,2/1/2021 7:07:16 AM,2/1/2021 7:07:16 AM
NCT04587375,"ClinicalTrials.gov processed this data on January 29, 2021",6/18/2020,,,10/13/2020,10/13/2020,10/14/2020,Actual,,,,,,,10/13/2020,10/14/2020,Actual,"March 1, 2020",Actual,3/1/2020,September 2020,9/30/2020,"May 30, 2020",Actual,5/30/2020,"May 1, 2020",Actual,5/1/2020,,Observational,Dyhor-19,,Diagnosis of Endocrine Dysfunctions in Covid-19,Diagnosis of Endocrine Dysfunctions in Covid-19 : Explorations of the Plasma Renin and Aldosterone Levels in Patients With Covid-19 Infection.,Completed,,,50,Actual,"University Hospital, Montpellier",,,,,False,,,,False,False,False,,,,,,,,,Undecided,NC,2/1/2021 6:56:19 AM,2/1/2021 6:56:19 AM
NCT04560530,"ClinicalTrials.gov processed this data on January 29, 2021",9/22/2020,,,9/22/2020,9/22/2020,9/23/2020,Actual,,,,,,,9/22/2020,9/23/2020,Actual,"March 1, 2020",Actual,3/1/2020,September 2020,9/30/2020,"September 1, 2020",Actual,9/1/2020,"July 30, 2020",Actual,7/30/2020,,Observational,,,The Role of CT Chest Scan in the Pre-anesthetic Assessment of Suspected or Confirmed COVID -19 Patients,The Use of Preoperative CT Chest Scan in the Pre-anesthetic Assessment of COVID-19,Completed,,,76,Actual,Tanta University,,,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 6:59:54 AM,2/1/2021 6:59:54 AM
NCT04551690,"ClinicalTrials.gov processed this data on January 29, 2021",7/28/2020,,,9/14/2020,9/14/2020,9/16/2020,Actual,,,,,,,9/14/2020,9/16/2020,Actual,"April 15, 2020",Actual,4/15/2020,September 2020,9/30/2020,"July 15, 2020",Actual,7/15/2020,"July 15, 2020",Actual,7/15/2020,,Observational,CONSCIENCE,,Prevalence of COVID-19 (Coronavirus Disease 19) in Pregnant Women on Labor in a Public Hospital in Chile (COroNavirus diSease Covid-19 pandEmic iN ChilE),"Analysis of Prevalence, Pregnancy Outcomes and Sociodemographic Conditions in Women at Labour With and Without Coronavirus 19 Disease COVID-19 in a Public Hospital in Chile",Completed,,,720,Actual,"Hospital San Juan de Dios, Santiago",,,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:01:07 AM,2/1/2021 7:01:07 AM
NCT04536285,"ClinicalTrials.gov processed this data on January 29, 2021",8/27/2020,,,9/1/2020,9/1/2020,9/2/2020,Actual,,,,,,,9/1/2020,9/2/2020,Actual,"May 1, 2020",Actual,5/1/2020,September 2020,9/30/2020,"August 31, 2020",Actual,8/31/2020,"August 31, 2020",Actual,8/31/2020,,Observational,,,Hospitalized Children and Adolescent Patients With Type 1 Diabetes During the COVID-19 Pandemic in Egypt,Clinical Characteristics and Outcome of Hospitalized Children and Adolescent Patients With Type 1 Diabetes During the COVID-19 Pandemic: Data From a Single Center Surveillance Study in Egypt,Completed,,,36,Actual,Ain Shams University,,,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:03:15 AM,2/1/2021 7:03:15 AM
NCT04447638,"ClinicalTrials.gov processed this data on January 29, 2021",6/24/2020,,,9/22/2020,6/24/2020,6/25/2020,Actual,,,,,,,9/22/2020,9/24/2020,Actual,"March 20, 2020",Actual,3/20/2020,September 2020,9/30/2020,"June 1, 2020",Actual,6/1/2020,"June 1, 2020",Actual,6/1/2020,,Observational,,,Percutaneous Tracheostomy With COVID-19,Percutaneous Tracheostomy With Aerosol Box in COVID-19 Positive Patients in Intensive Care Unit: a Clinical Trial,Completed,,,24,Actual,Çanakkale Onsekiz Mart University,,,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:15:09 AM,2/1/2021 7:15:09 AM
NCT04610554,"ClinicalTrials.gov processed this data on January 29, 2021",10/29/2020,,,10/29/2020,10/29/2020,10/30/2020,Actual,,,,,,,10/29/2020,10/30/2020,Actual,"May 14, 2020",Actual,5/14/2020,October 2020,10/31/2020,"October 12, 2020",Actual,10/12/2020,"October 12, 2020",Actual,10/12/2020,,Observational,,,Lung Diffusing Capacity for Nitric Oxide and Carbon Monoxide Early After Mild-to-severe COVID-19,Lung Diffusing Capacity for Nitric Oxide and Carbon Monoxide Early After Mild-to-severe COVID-19,Completed,,,74,Actual,"IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy",,,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 6:53:06 AM,2/1/2021 6:53:06 AM
NCT04628195,"ClinicalTrials.gov processed this data on January 29, 2021",11/10/2020,,,11/12/2020,11/12/2020,11/13/2020,Actual,,,,,,,11/12/2020,11/13/2020,Actual,"April 1, 2020",Actual,4/1/2020,November 2020,11/30/2020,"August 1, 2020",Actual,8/1/2020,"June 30, 2020",Actual,6/30/2020,,Observational,,,Cardiac Performance in Mechanically Ventilated COVID-19 Patients,Cardiac Performance in Mechanically Ventilated Patients With Severe Pneumonia by SARS-CoV-2: Echo-COVID Study,Completed,,,100,Actual,Pontificia Universidad Catolica de Chile,,,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 6:50:42 AM,2/1/2021 6:50:42 AM
NCT04691934,"ClinicalTrials.gov processed this data on January 29, 2021",12/29/2020,,,12/30/2020,12/30/2020,12/31/2020,Actual,,,,,,,12/30/2020,12/31/2020,Actual,"March 11, 2020",Actual,3/11/2020,December 2020,12/31/2020,"December 25, 2020",Actual,12/25/2020,"December 25, 2020",Actual,12/25/2020,,Observational,,,Obstetric Anesthesia Experiences in COVID-19 Positive Patients,Our Anesthesia Experiences in COVID-19 Positive Patients Undergoing Cesarean Section: A Retrospective Single-center Cohort Study,Completed,,,61,Actual,Turkiye Yuksek Ihtisas Education and Research Hospital,,,,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 6:42:27 AM,2/1/2021 6:42:27 AM
NCT04356885,"ClinicalTrials.gov processed this data on January 29, 2021",4/19/2020,,,12/28/2020,4/21/2020,4/22/2020,Actual,,,,,,,12/28/2020,12/29/2020,Actual,"April 1, 2020",Actual,4/1/2020,December 2020,12/31/2020,"August 1, 2020",Actual,8/1/2020,"July 30, 2020",Actual,7/30/2020,,Observational,SCHIZOVID-19,,COVID-19 and Psychotic Symptoms in France,Impact of Containment and Quarantine During COVID-19 Outbreack on Psychotic Symptoms in the General Population in France,Completed,,,600,Actual,"University Hospital, Montpellier",,,,,False,,,,False,False,False,,,,,,,,,Undecided,NC,2/1/2021 7:28:48 AM,2/1/2021 7:28:48 AM
NCT04363788,"ClinicalTrials.gov processed this data on January 29, 2021",4/23/2020,,,4/24/2020,4/23/2020,4/27/2020,Actual,,,,,,,4/24/2020,4/28/2020,Actual,"February 28, 2020",Actual,2/28/2020,April 2020,4/30/2020,"April 24, 2020",Actual,4/24/2020,"April 24, 2020",Actual,4/24/2020,,Observational,,,Needle Stick Injuries in Emergency Medical Service Practice,Should we Use Double Gloves During Procedures With Suspected/Confirmed COVID-19 Patient?,Completed,,,300,Actual,Lazarski University,,,1,,False,,,,False,False,False,,,,,,,,,Undecided,data will be part of manuscript,2/1/2021 7:27:55 AM,2/1/2021 7:27:55 AM
NCT04352491,"ClinicalTrials.gov processed this data on January 29, 2021",4/14/2020,,,6/16/2020,4/16/2020,4/20/2020,Actual,,,,,,,6/16/2020,6/17/2020,Actual,"April 24, 2020",Actual,4/24/2020,April 2020,4/30/2020,"May 31, 2020",Actual,5/31/2020,"May 31, 2020",Actual,5/31/2020,,Observational,,,An Online Survey to Understand Feelings Related to COVID-19 Among ILBS Patients With Liver Disease,An Online Survey to Understand Feelings Related to COVID-19 Among ILBS Patients With Liver Disease (FEELIV COVID),Completed,,,347,Actual,"Institute of Liver and Biliary Sciences, India",,,1,,False,,,,False,False,False,,,,,,,,,Undecided,,2/1/2021 7:29:34 AM,2/1/2021 7:29:34 AM
NCT04342637,"ClinicalTrials.gov processed this data on January 29, 2021",4/7/2020,,,5/19/2020,4/8/2020,4/13/2020,Actual,,,,,,,5/19/2020,5/20/2020,Actual,"April 10, 2020",Actual,4/10/2020,May 2020,5/31/2020,"May 1, 2020",Actual,5/1/2020,"April 25, 2020",Actual,4/25/2020,,Observational,COVID-19 Endo,,COVID-19 Endoscopy Survey,Gastrointestinal Endoscopy in the Era of COVID-19: a Multinational Survey,Completed,,,163,Actual,Al-Azhar University,,,1,,False,,,,False,False,False,,,,,,,,,Undecided,After publication we may share data,2/1/2021 7:31:19 AM,2/1/2021 7:31:19 AM
