nct_id,id,outcome_type,title,description,time_frame,population,units,dispersion_type,param_type
NCT04390022,6045919,Secondary,Frequency SARS-CoV-2-specific CD4+ T and and CD8+ T Cells,"Frequency of CD4+ T and CD8+ T cells (% over total CD4+T and CD8+ T) expressing any functional marker upon in vitro stimulation of PBMC with SARS-CoV-2 peptides, measured by flow cytometry.~[Results not yet available]",Up to and including day 7,,,,
NCT04390022,6045920,Secondary,Frequency of Innate Immune Cells,"Frequency (% over total PBMC) of innate immune cells (myeloid and plasmacytoid dendritic cells, NK cell, classical, intermediate and pro-inflammatory macrophages) measured in cryopreserved PBMC by flow cytometry.~[Results not yet available]",Up to and including day 7,,,,
NCT04390022,6045921,Secondary,"Levels of IgG, IgM and IgA","Levels in median fluorescence intensity (MFI) of IgG, IgM and IgA against the receptor-binding domain of the spike glycoprotein of SARS-CoV-2 in plasma, measured by a Luminex assay.~[Results not yet available]",Up to and including day 28,,,,
NCT04390022,6045922,Secondary,Proportion of Drug-related Adverse Events,Proportion of drug-related adverse events,7 days post treatment,,Participants,,Count of Participants
NCT04390022,6045923,Secondary,Seroconversion at Day 21,Proportion of participants with positive IgG at day 21,Up to and including day 21,,Participants,,Count of Participants
NCT04390022,6045924,Secondary,Fever and Cough Progression,Proportion of patients with fever and cough,"Days 4, 7, 14 and 21",,Participants,,Count of Participants
NCT04390022,6045925,Secondary,Median Viral Load,Quantitative and semi-quantitative PCR in nasopharyngeal swab. PCRs were performed using two target genes (E and N).,"Baseline and on days 4, 7, 14 and 21",,copies/mL,Inter-Quartile Range,Median
NCT04390022,6045926,Primary,Proportion of Patients With a Positive SARS-CoV-2 PCR,Proportion of patients with a positive SARS-CoV-2 PCR from a nasopharyngeal swab at day 7 post-treatment. PCRs were performed using two target genes (E and N).,7 days post-treatment,,Participants,,Count of Participants
NCT04385238,6045927,Primary,Number of Participants With Symptoms of Anxiety and Depression,Symptoms of anxiety and depression will be measured by the Patient Health Questionnaire-4 (PHQ-4) which combines two ultrabrief screeners: the PHQ-2 and the Generalised Anxiety Disorder Scale. Participants will be asked to report their symptoms of depression and anxiety in the past 2 weeks on a Likert Scale from 0 (not at all) to 3 (nearly every day) for a maximum score of 12.,Anytime during pregnancy or within 6 months after given birth.,,Participants,,Count of Participants
NCT04385238,6045928,Primary,Number of Participants With Symptoms of Post-traumatic Stress Disorder,"Post-traumatic Stress Disorder (PTSD) Symptoms will be assessed by the Impact of Events Scale-6. This scale includes a total of six items: two items from each of the three subscales of the measure, namely intrusion, hyperarousal and avoidance. Participants will be asked to report their PTSD symptoms in the past 7 days on a Likert Scale ranging from 0 (not at all) to 4 (extremely).",Anytime during pregnancy or within 6 months after given birth.,,Participants,,Count of Participants
NCT04343261,6046028,Primary,Serum Antibody Titers,"Median Serum Antibody Titers at Day 0, Day 3, Day 5 and Day 7 Serum Antibody titers were measured using chemiluminescent SARS-CoV-2 immunoglobulin G (IgG) assay from Diazyme (Poway, CA) Positive IgG serum value is > or = 1.0 arbitrary units/mL [AU/mL] (linear reportable range for IgG is 0.20 - 100.00 AU/mL)","Day 0, Day 3, Day 5, and Day 7","39 out of 41 patients had blood collected on day 0 (pre-transfusion), and on post-transfusion day 3 (n=36), 5 (n=30), and 7 (n=24) and serum antibody titers was assessed at each time point.",arbitrary units/mL (AU/mL),Full Range,Median
NCT04343261,6046029,Primary,Viral Load,"Median Viral Load at Day 0, Day 3, Day 5, and Day 7 Plasma Viral Load was measured using a research-use only real-time reverse transcription polymerase chain reaction (rRT -PCR) method which targets two regions of the SARS-CoV-2 N gene using TaqMan chemistry.~The limit of detection for this assay is 75 copies/mL (standard curve of 75 copies/mL to 10,000,000 copies/mL of in vitro transcribed RNA prepared from the full SARS-CoV-2 N gene).","Day 0, Day 3, Day 5, and Day 7",Plasma viral load data was available for 35 out of 41 convalescent plasma recipients on day 0. 22 patients out of 35 had non-detectable levels at Day 0; 25 patients out of 34 had non-detectable levels on Day 3; 20 patients out of 27 had non-detectable levels on Day 5; 20 patients out of 24 had non-detectable levels on Day 7.,copies per mL,Full Range,Median
NCT04343261,6046030,Primary,Mortality,Mortality within 28 days,Up to 28 days,48 patients with severe or life threatening disease with laboratory-confirmed severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection enrolled in the study. 7 patients were excluded from analysis due to receiving plasma with insufficient antibodies.,Participants,,Count of Participants
NCT04343092,6046037,Secondary,Time to Cure of COVID-19 Patients in the IVM +HCQ+AZT Group,"Time to cure is evaluated by measuring time from admission of the patient to the hospital till discharge after being free of symptoms and negative PCR swab. Once nasopharyngeal and oropharyngeal swab viral PCR testing yielded negative results 2 times consecutively, no further testing was performed",4 week,,Days,Standard Deviation,Mean
NCT04343092,6046038,Primary,Number of Cured Patients,Primary outcome is assessed by calculating the number of patients who had symptoms free and two successive readings of negative PCR swab.,4 weeks,,Participants,,Count of Participants
NCT04329923,6046043,Secondary,Rate of Hospitalization,Cohort 1 rate of hospitalization,until quarantine release,,Participants,,Count of Participants
NCT04329923,6046044,Secondary,Rate of Housemate Infection,Cohort 1 rate of participant-reported secondary infection of housemates,"until quarantine release, or approximately <20 days",,Participants,,Count of Participants
NCT04329923,6046045,Primary,Number of Health Care Workers Who Developed SARS-COV-2 Infection,Cohort 3 Physicians and nurse prophylaxis: Rate of COVID-19 infection at 2 months,2 months,,Participants,,Count of Participants
NCT04329923,6046046,Primary,Time to Hospital Discharge,Cohort 2 (hospitalized COVID-19 patients): median number of days until hospital discharge,until hospital discharge,,days,Full Range,Median
NCT04329923,6046047,Primary,Time to Release From Quarantine Time,Cohort 1 (home quarantined COVID-19 patients): Median time to release from quarantine by meeting the following criteria: 1) No fever for 72 hours 2) improvement in other symptoms and 3) 7 or 10 days (depending on CDC guidance at the time) have elapsed since the beginning of symptom onset.,until quarantine release or hospitalization,randomized patients that were released from quarantine on study,days,Full Range,Median
NCT04323592,6046073,Secondary,Number of Days Free From Mechanical Ventilation,number of days free from mechanical ventilation (both invasive and non-invasive) by day 28,28 days,,days,Standard Deviation,Mean
NCT04323592,6046074,Secondary,Change in C-reactive Protein (CRP),Change in C-reactive protein after 7 days from baseline. A reduction of CRP reveals a laboratory improvement.,7 days,,mg/L,Standard Deviation,Mean
NCT04323592,6046075,Primary,Endotracheal Intubation (Invasive Mechanical Ventilation),We reported below the number of participants who needed endotracheal intubation during ICU admission,28 days,,Participants,,Count of Participants
NCT04323592,6046076,Primary,Admission to Intensive Care Unit (ICU),We reported below the number of participants admitted to ICU within 28 days.,28 days,,Participants,,Count of Participants
NCT04323592,6046077,Primary,In-hospital Death Within 28 Days,"We reported below the number of participants who died within 28 days, during the hospital stay.",28 days,,Participants,,Count of Participants
NCT04323592,6046078,Primary,"Composite Primary End-point: Admission to ICU, Need for Invasive Mechanical Ventilation (MV), or All-cause Death by Day 28",We reported below the number of participants meeting at least one of three among death or ICU admission or Invasive mechanical ventilation.,28 days,,Participants,,Count of Participants
NCT04292899,6046237,Secondary,Part A: Percentage of Participants Who Experienced Treatment-Emergent Adverse Events (TEAEs),Treatment-emergent Adverse Events (TEAE) were defined as AEs with onset dates on or after the study treatment start date and no later than 30 days after the permanent discontinuation of the study treatment and/or the AEs that led to premature discontinuation of study treatment.,First dose date up to last dose date (maximum: 10 days) plus 30 days,Part A: Safety Analysis Set included participants who were randomized into part A of the study and received at least 1 dose of study drug,percentage of participants,95% Confidence Interval,Number
NCT04292899,6046238,Primary,Part A: Percentage of Participants in Each Clinical Status Category as Assessed by a 7-Point Ordinal Scale on Day 14,"Clinical status was derived from death, hospital discharge, and the ordinal scale as follows: score of 1 was used for all days on or after the date of death; score of 7 was used for all days on or after discharged alive date; last assessment carried forward for any missing values.The scale is as follows: 1. Death; 2. Hospitalized, on invasive mechanical ventilation or ECMO; 3. Hospitalized, on non-invasive ventilation or high flow oxygen devices; 4. Hospitalized, requiring low flow supplemental oxygen; 5. Hospitalized, not requiring supplemental oxygen - requiring ongoing medical care (COVID-19 related or otherwise); 6. Hospitalized, not requiring supplemental oxygen - no longer required ongoing medical care (other than per protocol remdesivir administration); 7. Not hospitalized. The odds ratio represents the odds of improvement in the ordinal scale for the Remdesivir for 10 days group vs the Remdesivir for 5 days group.",Day 14,Full Analysis Set included participants who were randomized into part A of the study and received at least 1 dose of study treatment.,percentage of participants,,Number
NCT04292730,6046239,Secondary,Part A: Percentage of Participants Who Experienced Treatment-Emergent Adverse Events (TEAEs),"TEAEs were defined as the following: any AE with an onset date on or after the study treatment start date and no later than 30 days after permanent discontinuation of study treatment and/or any AE leading to premature discontinuation of study treatment. For participants randomized to the SOC group, all AEs reported on or after the protocol-specified Day 1 visit were considered as treatment emergent.",First dose date up to last dose date (maximum: 10 days) plus 30 days,Safety Analysis Set included participants who were randomized into part A of the study and received at least 1 dose of study treatment or completed the Day 1 visit (SOC only group).,percentage of participants,95% Confidence Interval,Number
NCT04292730,6046240,Primary,Part A: Percentage of Participants in Each Clinical Status Category as Assessed by a 7-Point Ordinal Scale on Day 11,"Clinical status was derived from death, hospital discharge, and ordinal scale as follows: score of 1 was used for all days on or after the date of death; score of 7 was used for all days on or after discharged alive date; last available assessment for missing value. The scale is as follows: 1. Death; 2. Hospitalized, on invasive mechanical ventilation or Extracorporeal Membrane Oxygenation (ECMO); 3. Hospitalized, on non-invasive ventilation or high flow oxygen devices; 4. Hospitalized, requiring low flow supplemental oxygen; 5. Hospitalized, not requiring supplemental oxygen - requiring ongoing medical care (coronavirus (COVID-19) related or otherwise); 6. Hospitalized, not requiring supplemental oxygen - no longer required ongoing medical care (other than per protocol remdesivir administration; 7. Not hospitalized. The odds ratio represents the odds of improvement in the ordinal scale for a RDV group relative to the SOC group.",Day 11,Full Analysis Set (FAS) included all participants who were randomized into Part A of the study and received at least 1 dose of study treatment if randomized to 1 of the RDV treatment groups. Participants in the SOC arm who had protocol Day 1 visit were included in the FAS.,percentage of participants,,Number
NCT04280705,6046416,Secondary,"Time to Discharge or to a NEWS of 2 or Less and Maintained for 24 Hours, Whichever Occurs First","The NEW score has demonstrated an ability to discriminate patients at risk of poor outcomes. This score is based on 7 clinical parameters (respiration rate, oxygen saturation, any supplemental oxygen, temperature, systolic blood pressure, heart rate, level of consciousness). The NEW Score is being used as an efficacy measure. The minimum score is 0, representing the better outcome, and the maximum value is 19, representing the worse outcome. The time to discharge or a NEWS of less than or equal to 2 was determined for each participant.",Day 1 through Day 29,The ITT population includes all participants as randomized.,Days,95% Confidence Interval,Median
NCT04280705,6046417,Secondary,Time to an Improvement of at Least Two Categories Using an Ordinal Scale,"The ordinal scale is an assessment of the clinical status at the first assessment of a given study day. The scale is as follows: 1) Death; 2) Hospitalized, on invasive mechanical ventilation or extracorporeal membrane oxygenation (ECMO); 3) Hospitalized, on non-invasive ventilation or high flow oxygen devices; 4) Hospitalized, requiring supplemental oxygen; 5) Hospitalized, not requiring supplemental oxygen - requiring ongoing medical care (COVID-19 related or otherwise); 6) Hospitalized, not requiring supplemental oxygen - no longer requires ongoing medical care; 7) Not hospitalized, limitation on activities and/or requiring home oxygen; 8) Not hospitalized, no limitations on activities. Time to improvement by at least two categories was determined for each participant",Day 1 through Day 29,The ITT population includes all participants as randomized,Days,95% Confidence Interval,Median
NCT04280705,6046418,Secondary,Time to an Improvement by at Least One Category Using an Ordinal Scale,"The ordinal scale is an assessment of the clinical status at the first assessment of a given study day. The scale is as follows: 8) Death; 7) Hospitalized, on invasive mechanical ventilation or extracorporeal membrane oxygenation (ECMO); 6) Hospitalized, on non-invasive ventilation or high flow oxygen devices; 5) Hospitalized, requiring supplemental oxygen; 4) Hospitalized, not requiring supplemental oxygen - requiring ongoing medical care (COVID-19 related or otherwise); 3) Hospitalized, not requiring supplemental oxygen - no longer requires ongoing medical care; 2) Not hospitalized, limitation on activities and/or requiring home oxygen; 1) Not hospitalized, no limitations on activities. Time to improvement by at least one category was determined for each participant",Day 1 through Day 29,The ITT population includes all participants as randomized,Days,95% Confidence Interval,Median
NCT04280705,6046419,Secondary,29-day Participant Mortality,The mortality rate was determined as the proportion of participants who died by study Day 29.,Day 1 through Day 29,The ITT population includes all participants as randomized,Proportion of participants,95% Confidence Interval,Number
NCT04280705,6046420,Secondary,14-day Participant Mortality,The mortality rate was determined as the proportion of participants who died by study Day 15.,Day 1 through Day 15,The ITT population consists of all participants as randomized.,Proportion of participants,95% Confidence Interval,Number
NCT04280705,6046441,Secondary,Change From Baseline in Eosinophils,"Blood to evaluate eosinophils was collected at Days 1, 3, 5, 8, and 11 while participants were inpatient, and at Days 15 and 29, with the Day 1 assessment serving as baseline. Participants who had been discharged had blood collected if infection control measures allowed for in-person visits after discharge.","Days 1, 3, 5, 8, 11, 15 and 29","The safety population includes all treated participants with available data at baseline and the post baseline assessment point, analyzed as treated.",10^9 cells/liter,Standard Deviation,Mean
NCT04280705,6046421,Secondary,Mean Change in the Ordinal Scale,"The ordinal scale is an assessment of the clinical status at the first assessment of a given study day. The scale is as follows: 8) Death; 7) Hospitalized, on invasive mechanical ventilation or extracorporeal membrane oxygenation (ECMO); 6) Hospitalized, on non-invasive ventilation or high flow oxygen devices; 5) Hospitalized, requiring supplemental oxygen; 4) Hospitalized, not requiring supplemental oxygen - requiring ongoing medical care (COVID-19 related or otherwise); 3) Hospitalized, not requiring supplemental oxygen - no longer requires ongoing medical care; 2) Not hospitalized, limitation on activities and/or requiring home oxygen; 1) Not hospitalized, no limitations on activities. A positive change indicates a worsening and a negative change is an improvement.","Day 1, 3, 5, 8, 11, 15, 22, and 29",The intent-to-treat (ITT) population includes all participants who were randomized reporting a clinical score. Missing values were imputed using Last Observation Carried Forward. Clinical scores of 8 were carried forward from the date of death for participants who died.,units on a scale,Standard Deviation,Mean
NCT04280705,6046422,Secondary,Percentage of Participants Requiring New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use,The percentage of participants requiring new ventilator or ECMO use was determined as the percentage not on a ventilator or ECMO at baseline,Day 1 through Day 29,The analysis population is restricted to randomized participants not on a ventilator or ECMO at baseline.,percentage of participants,95% Confidence Interval,Number
NCT04280705,6046423,Secondary,Percentage of Participants Requiring New Oxygen Use,The percentage of participants requiring new oxygen use was determined as the percentage of participants not requiring oxygen at baseline,Day 1 through Day 29,The analysis population is restricted to randomized participants not requiring oxygen at baseline.,percentage of participants,95% Confidence Interval,Number
NCT04280705,6046424,Secondary,Percentage of Participants Requiring New Non-invasive Ventilation or High-flow Oxygen Use,New non-invasive ventilation or high-flow oxygen use was determined as the percentage of subject not on non-invasive ventilation or high-flow oxygen at baseline.,Day 1 through Day 29,The analysis population is restricted to randomized participants who were not on non-invasive or high-flow oxygen at baseline.,percentage of participants,95% Confidence Interval,Number
NCT04280705,6046425,Secondary,Duration of New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use,"Duration of new ventilator or ECMO use was measured in days among participants who were not on a ventilator or ECMO at baseline, determined two ways. The first includes imputations for participants who died. The second method is restricted to participants who did not die",Day 1 through Day 29,The analysis population is restricted to randomized participants not on a ventilator or ECMO at baseline but who subsequently required a ventilator or ECMO.,Days,Inter-Quartile Range,Median
NCT04280705,6046426,Secondary,Duration of New Oxygen Use,"Duration of new oxygen use was measured in days among participants who were not on oxygen at baseline, determined two ways. The first includes imputations for participants who died. The second method is restricted to participants who did not die~.",Day 1 through Day 29,The analysis population is restricted to randomized participants who were not on oxygen at baseline but who subsequently required oxygen.,Days,Inter-Quartile Range,Median
NCT04280705,6046427,Secondary,Duration of New Non-invasive Ventilation or High Flow Oxygen Use,"Duration of new non-invasive ventilation or high flow oxygen use was measured in days among participants who were not on non-invasive ventilation or high-flow oxygen use at baseline, determined two ways. The first includes imputations for participants who died. The second method is restricted to participants who did not die",Day 1 through Day 29,The analysis population is restricted to randomized participants who were not on non-invasive ventilation or high-flow oxygen at baseline but who subsequently required non-invasive or high-flow oxygen.,Days,Inter-Quartile Range,Median
NCT04280705,6046428,Secondary,Duration of Hospitalization,Duration of hospitalization was determined two ways. The first includes imputations for participants who died. The second method is restricted to participants who did not die.,Day 1 through Day 29,The intent-to-treat (ITT) population includes all participants who were randomized,Days,Inter-Quartile Range,Median
NCT04280705,6046429,Secondary,Percentage of Participants Discontinued or Temporarily Suspended From Investigational Therapeutics,"Participants may have been discontinued from investigational therapeutics due to discharge or death. The halting or slowing of the infusion for any reason was collected, as was missed doses in the series of 10 doses.",Day 1 through Day 10,The intent-to-treat (ITT) population includes all participants who were randomized,percentage of participants,95% Confidence Interval,Number
NCT04280705,6046430,Secondary,Percentage of Participants Reporting Serious Adverse Events (SAEs),"An SAE is defined as an AE or suspected adverse reaction is considered serious if, in the view of either the investigator or the sponsor, it results in death, a life-threatening AE, inpatient hospitalization or prolongation of existing hospitalization, a persistent or significant incapacity or substantial disruption of the ability to conduct normal life functions, or a congenital anomaly/birth defect.",Day 1 through Day 29,"The safety population includes all participants with available data post baseline, analyzed as treated.",percentage of participants,95% Confidence Interval,Number
NCT04280705,6046431,Secondary,Percentage of Participants Reporting Grade 3 and 4 Clinical and/or Laboratory Adverse Events (AEs),"Grade 3 AEs are defined as events that interrupt usual activities of daily living, or significantly affects clinical status, or may require intensive therapeutic intervention. Severe events are usually incapacitating. Grade 4 AEs are defined as events that are potentially life threatening.",Day 1 through Day 29,"The safety population includes all participants with available data post baseline, analyzed as treated.",percentage of participants,95% Confidence Interval,Number
NCT04280705,6046432,Secondary,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 29,"The ordinal scale is an assessment of the clinical status at the first assessment of a given study day. The scale is as follows: 8) Death; 7) Hospitalized, on invasive mechanical ventilation or extracorporeal membrane oxygenation (ECMO); 6) Hospitalized, on non-invasive ventilation or high flow oxygen devices; 5) Hospitalized, requiring supplemental oxygen; 4) Hospitalized, not requiring supplemental oxygen - requiring ongoing medical care (COVID-19 related or otherwise); 3) Hospitalized, not requiring supplemental oxygen - no longer requires ongoing medical care; 2) Not hospitalized, limitation on activities and/or requiring home oxygen; 1) Not hospitalized, no limitations on activities.",Day 29,The intent-to-treat (ITT) population includes all participants who were randomized,percentage of participants,95% Confidence Interval,Number
NCT04280705,6046433,Secondary,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 22,"The ordinal scale is an assessment of the clinical status at the first assessment of a given study day. The scale is as follows: 8) Death; 7) Hospitalized, on invasive mechanical ventilation or extracorporeal membrane oxygenation (ECMO); 6) Hospitalized, on non-invasive ventilation or high flow oxygen devices; 5) Hospitalized, requiring supplemental oxygen; 4) Hospitalized, not requiring supplemental oxygen - requiring ongoing medical care (COVID-19 related or otherwise); 3) Hospitalized, not requiring supplemental oxygen - no longer requires ongoing medical care; 2) Not hospitalized, limitation on activities and/or requiring home oxygen; 1) Not hospitalized, no limitations on activities.",Day 22,The intent-to-treat (ITT) population includes all participants who were randomized,percentage of participants,95% Confidence Interval,Number
NCT04280705,6046434,Secondary,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 15,"The ordinal scale is an assessment of the clinical status at the first assessment of a given study day. The scale is as follows: 8) Death; 7) Hospitalized, on invasive mechanical ventilation or extracorporeal membrane oxygenation (ECMO); 6) Hospitalized, on non-invasive ventilation or high flow oxygen devices; 5) Hospitalized, requiring supplemental oxygen; 4) Hospitalized, not requiring supplemental oxygen - requiring ongoing medical care (COVID-19 related or otherwise); 3) Hospitalized, not requiring supplemental oxygen - no longer requires ongoing medical care; 2) Not hospitalized, limitation on activities and/or requiring home oxygen; 1) Not hospitalized, no limitations on activities.",Day 15,The intent-to-treat (ITT) population includes all participants who were randomized,percentage of participants,95% Confidence Interval,Number
NCT04280705,6046435,Secondary,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 11,"The ordinal scale is an assessment of the clinical status at the first assessment of a given study day. The scale is as follows: 8) Death; 7) Hospitalized, on invasive mechanical ventilation or extracorporeal membrane oxygenation (ECMO); 6) Hospitalized, on non-invasive ventilation or high flow oxygen devices; 5) Hospitalized, requiring supplemental oxygen; 4) Hospitalized, not requiring supplemental oxygen - requiring ongoing medical care (COVID-19 related or otherwise); 3) Hospitalized, not requiring supplemental oxygen - no longer requires ongoing medical care; 2) Not hospitalized, limitation on activities and/or requiring home oxygen; 1) Not hospitalized, no limitations on activities.",Day 11,The intent-to-treat (ITT) population includes all participants who were randomized,percentage of participants,95% Confidence Interval,Number
NCT04280705,6046436,Secondary,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 8,"The ordinal scale is an assessment of the clinical status at the first assessment of a given study day. The scale is as follows: 8) Death; 7) Hospitalized, on invasive mechanical ventilation or extracorporeal membrane oxygenation (ECMO); 6) Hospitalized, on non-invasive ventilation or high flow oxygen devices; 5) Hospitalized, requiring supplemental oxygen; 4) Hospitalized, not requiring supplemental oxygen - requiring ongoing medical care (COVID-19 related or otherwise); 3) Hospitalized, not requiring supplemental oxygen - no longer requires ongoing medical care; 2) Not hospitalized, limitation on activities and/or requiring home oxygen; 1) Not hospitalized, no limitations on activities.",Day 8,The intent-to-treat (ITT) population includes all participants who were randomized,percentage of participants,95% Confidence Interval,Number
NCT04280705,6046437,Secondary,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 5,"The ordinal scale is an assessment of the clinical status at the first assessment of a given study day. The scale is as follows: 8) Death; 7) Hospitalized, on invasive mechanical ventilation or extracorporeal membrane oxygenation (ECMO); 6) Hospitalized, on non-invasive ventilation or high flow oxygen devices; 5) Hospitalized, requiring supplemental oxygen; 4) Hospitalized, not requiring supplemental oxygen - requiring ongoing medical care (COVID-19 related or otherwise); 3) Hospitalized, not requiring supplemental oxygen - no longer requires ongoing medical care; 2) Not hospitalized, limitation on activities and/or requiring home oxygen; 1) Not hospitalized, no limitations on activities.",Day 5,The intent-to-treat (ITT) population includes all participants who were randomized,percentage of participants,95% Confidence Interval,Number
NCT04280705,6046438,Secondary,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 3,"The ordinal scale is an assessment of the clinical status at the first assessment of a given study day. The scale is as follows: 8) Death; 7) Hospitalized, on invasive mechanical ventilation or extracorporeal membrane oxygenation (ECMO); 6) Hospitalized, on non-invasive ventilation or high flow oxygen devices; 5) Hospitalized, requiring supplemental oxygen; 4) Hospitalized, not requiring supplemental oxygen - requiring ongoing medical care (COVID-19 related or otherwise); 3) Hospitalized, not requiring supplemental oxygen - no longer requires ongoing medical care; 2) Not hospitalized, limitation on activities and/or requiring home oxygen; 1) Not hospitalized, no limitations on activities.",Day 3,The intent-to-treat (ITT) population includes all participants who were randomized,percentage of participants,95% Confidence Interval,Number
NCT04280705,6046439,Secondary,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 1,"The ordinal scale is an assessment of the clinical status at the first assessment of a given study day. The scale is as follows: 8) Death; 7) Hospitalized, on invasive mechanical ventilation or extracorporeal membrane oxygenation (ECMO); 6) Hospitalized, on non-invasive ventilation or high flow oxygen devices; 5) Hospitalized, requiring supplemental oxygen; 4) Hospitalized, not requiring supplemental oxygen - requiring ongoing medical care (COVID-19 related or otherwise); 3) Hospitalized, not requiring supplemental oxygen - no longer requires ongoing medical care; 2) Not hospitalized, limitation on activities and/or requiring home oxygen; 1) Not hospitalized, no limitations on activities.",Day 1,The intent-to-treat (ITT) population includes all participants who were randomized,percentage of participants,95% Confidence Interval,Number
NCT04280705,6046440,Secondary,Change in National Early Warning Score (NEWS) From Baseline,"The NEW score has demonstrated an ability to discriminate patients at risk of poor outcomes. This score is based on 7 clinical parameters (respiration rate, oxygen saturation, any supplemental oxygen, temperature, systolic blood pressure, heart rate, level of consciousness). The NEW Score is being used as an efficacy measure. The minimum score is 0, representing the better outcome, and the maximum value is 19, representing the worse outcome.","Days 1, 3, 5, 8, 11, 15, 22, and 29",The intent-to-treat (ITT) population includes all participants who were randomized with data at baseline and at each timepoint.,units on a scale,Standard Deviation,Mean
NCT04280705,6046442,Secondary,Change From Baseline in Basophils,"Blood to evaluate basophils was collected at Days 1, 3, 5, 8, and 11 while participants were inpatient, and at Days 15 and 29, with the Day 1 assessment serving as baseline. Participants who had been discharged had blood collected if infection control measures allowed for in-person visits after discharge.","Days 1, 3, 5, 8, 11, 15 and 29","The safety population includes all treated participants with available data at baseline and the post baseline assessment point, analyzed as treated.",10^9 cells/liter,Standard Deviation,Mean
NCT04280705,6046443,Secondary,Change From Baseline in Monocytes,"Blood to evaluate monocytes was collected at Days 1, 3, 5, 8, and 11 while participants were inpatient, and at Days 15 and 29, with the Day 1 assessment serving as baseline. Participants who had been discharged had blood collected if infection control measures allowed for in-person visits after discharge.","Days 1, 3, 5, 8, 11, 15 and 29","The safety population includes all treated participants with available data at baseline and the post baseline assessment point, analyzed as treated.",10^9 cells/liter,Standard Deviation,Mean
NCT04280705,6046444,Secondary,Change From Baseline in Lymphocytes,"Blood to evaluate lymphocytes was collected at Days 1, 3, 5, 8, and 11 while participants were inpatient, and at Days 15 and 29, with the Day 1 assessment serving as baseline. Participants who had been discharged had blood collected if infection control measures allowed for in-person visits after discharge.","Days 1, 3, 5, 8, 11, 15 and 29","The safety population includes all treated participants with available data at baseline and the post baseline assessment point, analyzed as treated.",10^9 cells/liter,Standard Deviation,Mean
NCT04280705,6046445,Secondary,Change From Baseline in Neutrophils,"Blood to evaluate neutrophils was collected at Days 1, 3, 5, 8, and 11 while participants were inpatient, and at Days 15 and 29, with the Day 1 assessment serving as baseline. Participants who had been discharged had blood collected if infection control measures allowed for in-person visits after discharge.","Days 1, 3, 5, 8, 11, 15 and 29","The safety population includes all treated participants with available data at baseline and the post baseline assessment point, analyzed as treated.",10^9 cells/liter,Standard Deviation,Mean
NCT04280705,6046446,Secondary,Change From Baseline in White Blood Cell Count (WBC),"Blood to evaluate WBC was collected at Days 1, 3, 5, 8, and 11 while participants were inpatient, and at Days 15 and 29, with the Day 1 assessment serving as baseline. Participants who had been discharged had blood collected if infection control measures allowed for in-person visits after discharge.","Days 1, 3, 5, 8, 11, 15 and 29","The safety population includes all treated participants with available data at baseline and the post baseline assessment point, analyzed as treated.",10^9 cells/liter,Standard Deviation,Mean
NCT04280705,6046447,Secondary,Change From Baseline in Total Bilirubin,"Blood to evaluate total bilirubin was collected at Days 1, 3, 5, 8, and 11 while participants were inpatient, and at Days 15 and 29, with the Day 1 assessment serving as baseline. Participants who had been discharged had blood collected if infection control measures allowed for in-person visits after discharge.","Days 1, 3, 5, 8, 11, 15 and 29","The safety population includes all treated participants with available data at baseline and the post baseline assessment point, analyzed as treated.",mg/dL,Standard Deviation,Mean
NCT04280705,6046448,Secondary,Change From Baseline in Prothrombin Time (PT),"Blood to evaluate PT was collected at Days 1, 3, 5, 8, and 11 while participants were inpatient, and at Days 15 and 29, with the Day 1 assessment serving as baseline. Participants who had been discharged had blood collected if infection control measures allowed for in-person visits after discharge.","Days 1, 3, 5, 8, 11, 15 and 29","The safety population includes all treated participants with available data at baseline and the post baseline assessment point, analyzed as treated.",seconds,Standard Deviation,Mean
NCT04280705,6046449,Secondary,Change From Baseline in Platelets,"Blood to evaluate platelets was collected at Days 1, 3, 5, 8, and 11 while participants were inpatient, and at Days 15 and 29, with the Day 1 assessment serving as baseline. Participants who had been discharged had blood collected if infection control measures allowed for in-person visits after discharge.","Days 1, 3, 5, 8, 11, 15 and 29","The safety population includes all treated participants with available data at baseline and the post baseline assessment point, analyzed as treated.",10^9 cells/liter,Standard Deviation,Mean
NCT04280705,6046450,Secondary,Change From Baseline in Hemoglobin,"Blood to evaluate hemoglobin was collected at Days 1, 3, 5, 8, and 11 while participants were inpatient, and at Days 15 and 29, with the Day 1 assessment serving as baseline. Participants who had been discharged had blood collected if infection control measures allowed for in-person visits after discharge.","Days 1, 3, 5, 8, 11, 15 and 29","The safety population includes all treated participants with available data at baseline and the post baseline assessment point, analyzed as treated.",grams/deciliter (g/dL),Standard Deviation,Mean
