Treatment,nct_id,ID,COVID-19 status,Patient setting,Outcome,Size
Remdesivir,NCT04431453,NCT04431453,Confirmed,Hospital,"Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Treatment-emergent Adverse Events, Bilirubin",52
Remdesivir,NCT04431453,NCT04431453,Confirmed,Hospital,"Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Treatment-emergent Adverse Events, Bilirubin",52
NA,NCT04381936,NCT04381936,Confirmed,Hospital,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Renal Outcome (Unspecified)",40000
NA,NCT04381936,NCT04381936,Confirmed,Hospital,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Renal Outcome (Unspecified)",40000
NA,NCT04381936,NCT04381936,Confirmed,Hospital,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Renal Outcome (Unspecified)",40000
"PDE4 + Standard of care, Standard of care",NCT04590586,NCT04590586,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Treatment-emergent Adverse Events, Serious Adverse Events, Radiographic Findings",1400
"PDE4 + Standard of care, Standard of care",NCT04590586,NCT04590586,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Treatment-emergent Adverse Events, Serious Adverse Events, Radiographic Findings",1400
"PDE4 + Standard of care, Standard of care",NCT04590586,NCT04590586,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Treatment-emergent Adverse Events, Serious Adverse Events, Radiographic Findings",1400
"PDE4 + Standard of care, Standard of care",NCT04590586,NCT04590586,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Treatment-emergent Adverse Events, Serious Adverse Events, Radiographic Findings",1400
"PDE4 + Standard of care, Standard of care",NCT04590586,NCT04590586,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Treatment-emergent Adverse Events, Serious Adverse Events, Radiographic Findings",1400
"PDE4 + Standard of care, Standard of care",NCT04590586,NCT04590586,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Treatment-emergent Adverse Events, Serious Adverse Events, Radiographic Findings",1400
"PDE4 + Standard of care, Standard of care",NCT04590586,NCT04590586,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Treatment-emergent Adverse Events, Serious Adverse Events, Radiographic Findings",1400
"PDE4 + Standard of care, Standard of care",NCT04590586,NCT04590586,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Treatment-emergent Adverse Events, Serious Adverse Events, Radiographic Findings",1400
"PDE4 + Standard of care, Standard of care",NCT04590586,NCT04590586,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Treatment-emergent Adverse Events, Serious Adverse Events, Radiographic Findings",1400
"PDE4 + Standard of care, Standard of care",NCT04590586,NCT04590586,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Treatment-emergent Adverse Events, Serious Adverse Events, Radiographic Findings",1400
"PDE4 + Standard of care, Standard of care",NCT04590586,NCT04590586,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Treatment-emergent Adverse Events, Serious Adverse Events, Radiographic Findings",1400
"PDE4 + Standard of care, Standard of care",NCT04590586,NCT04590586,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Treatment-emergent Adverse Events, Serious Adverse Events, Radiographic Findings",1400
"PDE4 + Standard of care, Standard of care",NCT04590586,NCT04590586,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Treatment-emergent Adverse Events, Serious Adverse Events, Radiographic Findings",1400
"PDE4 + Standard of care, Standard of care",NCT04590586,NCT04590586,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Treatment-emergent Adverse Events, Serious Adverse Events, Radiographic Findings",1400
"PDE4 + Standard of care, Standard of care",NCT04590586,NCT04590586,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Treatment-emergent Adverse Events, Serious Adverse Events, Radiographic Findings",1400
"PDE4 + Standard of care, Standard of care",NCT04590586,NCT04590586,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Treatment-emergent Adverse Events, Serious Adverse Events, Radiographic Findings",1400
"PDE4 + Standard of care, Standard of care",NCT04590586,NCT04590586,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Treatment-emergent Adverse Events, Serious Adverse Events, Radiographic Findings",1400
"Plasma based therapy, Standard of care",NCT04456413,NCT04456413,Confirmed,Hospital,Hospitalization,306
"Other, Standard of care",NCT04547140,NCT04547140,Confirmed,Hospital,"ICU Admission, Hospital Discharge, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Fever",100
"Other, Standard of care",NCT04547140,NCT04547140,Confirmed,Hospital,"ICU Admission, Hospital Discharge, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Fever",100
"Other, Standard of care",NCT04547140,NCT04547140,Confirmed,Hospital,"ICU Admission, Hospital Discharge, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Fever",100
"Other, Standard of care",NCT04547140,NCT04547140,Confirmed,Hospital,"ICU Admission, Hospital Discharge, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Fever",100
"Other, Standard of care",NCT04547140,NCT04547140,Confirmed,Hospital,"ICU Admission, Hospital Discharge, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Fever",100
"Other, Standard of care",NCT04547140,NCT04547140,Confirmed,Hospital,"ICU Admission, Hospital Discharge, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Fever",100
"Other, Standard of care",NCT04547140,NCT04547140,Confirmed,Hospital,"ICU Admission, Hospital Discharge, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Fever",100
"Igs, Standard of care",NCT04480424,NCT04480424,Confirmed,ICU,"Mortality, ICU Admission, Hospital Discharge, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",100
"Igs, Standard of care",NCT04480424,NCT04480424,Confirmed,ICU,"Mortality, ICU Admission, Hospital Discharge, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",100
"Igs, Standard of care",NCT04480424,NCT04480424,Confirmed,ICU,"Mortality, ICU Admission, Hospital Discharge, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",100
"Igs, Standard of care",NCT04480424,NCT04480424,Confirmed,ICU,"Mortality, ICU Admission, Hospital Discharge, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",100
"Igs, Standard of care",NCT04480424,NCT04480424,Confirmed,ICU,"Mortality, ICU Admission, Hospital Discharge, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",100
"Igs, Standard of care",NCT04480424,NCT04480424,Confirmed,ICU,"Mortality, ICU Admission, Hospital Discharge, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",100
"Igs, Standard of care",NCT04480424,NCT04480424,Confirmed,ICU,"Mortality, ICU Admission, Hospital Discharge, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",100
"Igs, Standard of care",NCT04480424,NCT04480424,Confirmed,ICU,"Mortality, ICU Admission, Hospital Discharge, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",100
"Igs, Standard of care",NCT04480424,NCT04480424,Confirmed,ICU,"Mortality, ICU Admission, Hospital Discharge, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",100
Nutrition,NCT04542850,NCT04542850,Confirmed,Hospital,"ICU Admission, Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Adverse Events, C-Reactive Protein, Ferritin, IL-6, Lymphocyte Count, Neutrophils, Platelet Count, Hemoglobin, D-Dimer, Myoglobin, Procalcitonin, ALT, AST, Albumin, Bilirubin, Glucose, LDH, Urine Sample, CD4, CD8, Blood Urea Nitrogen, Heart Rate, ECG, SpO2, Respiratory Rate, Renal Outcome (Unspecified)",40
"Other, Standard of care",NCT04652518,NCT04652518,Confirmed,Hospital,"6-Minute Walking Distance, Quality of Life",168
"Other, Standard of care",NCT04652518,NCT04652518,Confirmed,Hospital,"6-Minute Walking Distance, Quality of Life",168
"Other, Standard of care",NCT04652518,NCT04652518,Confirmed,Hospital,"6-Minute Walking Distance, Quality of Life",168
"Other, Standard of care",NCT04652518,NCT04652518,Confirmed,Hospital,"6-Minute Walking Distance, Quality of Life",168
"Other, Standard of care",NCT04652518,NCT04652518,Confirmed,Hospital,"6-Minute Walking Distance, Quality of Life",168
"Other, Standard of care",NCT04652518,NCT04652518,Confirmed,Hospital,"6-Minute Walking Distance, Quality of Life",168
"Other, Standard of care",NCT04652518,NCT04652518,Confirmed,Hospital,"6-Minute Walking Distance, Quality of Life",168
"Anticoagulants, Antihypertensive, Standard of care",NCT04498273,NCT04498273,Confirmed,Outpatient,Hospitalization,7000
"Anticoagulants, Antihypertensive, Standard of care",NCT04498273,NCT04498273,Confirmed,Outpatient,Hospitalization,7000
"Anticoagulants, Antihypertensive, Standard of care",NCT04498273,NCT04498273,Confirmed,Outpatient,Hospitalization,7000
"Anticoagulants, Antihypertensive, Standard of care",NCT04498273,NCT04498273,Confirmed,Outpatient,Hospitalization,7000
"Anticoagulants, Antihypertensive, Standard of care",NCT04498273,NCT04498273,Confirmed,Outpatient,Hospitalization,7000
"Anticoagulants, Antihypertensive, Standard of care",NCT04498273,NCT04498273,Confirmed,Outpatient,Hospitalization,7000
Plasma based therapy,NCT04345679,NCT04345679,NA,Hospital,"Mortality, ICU Admission, Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Other Mild Symptoms, Bilirubin",20
"NSAIDs, Standard of care",NCT04325633,NCT04325633,Confirmed,Hospital,"Mortality, Clinical Improvement Score (Any)",30
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Remdesivir + Dexamethasone, Remdesivir + JAKi",NCT04640168,NCT04640168,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose",1500
"Anticoagulants, Standard of care",NCT04416048,NCT04416048,Confirmed,"Outpatient, Hospital","Mortality, Clinical Improvement Score (Any), Non-invasive Ventilation, Deep Vein Thrombosis or Pulmonary Embolism, Coagulation Test",400
"Anticoagulants, Standard of care",NCT04416048,NCT04416048,Confirmed,"Outpatient, Hospital","Mortality, Clinical Improvement Score (Any), Non-invasive Ventilation, Deep Vein Thrombosis or Pulmonary Embolism, Coagulation Test",400
"Anticoagulants, Standard of care",NCT04416048,NCT04416048,Confirmed,"Outpatient, Hospital","Mortality, Clinical Improvement Score (Any), Non-invasive Ventilation, Deep Vein Thrombosis or Pulmonary Embolism, Coagulation Test",400
"Anticoagulants, Standard of care",NCT04416048,NCT04416048,Confirmed,"Outpatient, Hospital","Mortality, Clinical Improvement Score (Any), Non-invasive Ventilation, Deep Vein Thrombosis or Pulmonary Embolism, Coagulation Test",400
"Anticoagulants, Standard of care",NCT04416048,NCT04416048,Confirmed,"Outpatient, Hospital","Mortality, Clinical Improvement Score (Any), Non-invasive Ventilation, Deep Vein Thrombosis or Pulmonary Embolism, Coagulation Test",400
"Anticoagulants, Standard of care",NCT04416048,NCT04416048,Confirmed,"Outpatient, Hospital","Mortality, Clinical Improvement Score (Any), Non-invasive Ventilation, Deep Vein Thrombosis or Pulmonary Embolism, Coagulation Test",400
"Anticoagulants, Standard of care",NCT04416048,NCT04416048,Confirmed,"Outpatient, Hospital","Mortality, Clinical Improvement Score (Any), Non-invasive Ventilation, Deep Vein Thrombosis or Pulmonary Embolism, Coagulation Test",400
"Anticoagulants, Standard of care",NCT04416048,NCT04416048,Confirmed,"Outpatient, Hospital","Mortality, Clinical Improvement Score (Any), Non-invasive Ventilation, Deep Vein Thrombosis or Pulmonary Embolism, Coagulation Test",400
"Anticoagulants, Standard of care",NCT04416048,NCT04416048,Confirmed,"Outpatient, Hospital","Mortality, Clinical Improvement Score (Any), Non-invasive Ventilation, Deep Vein Thrombosis or Pulmonary Embolism, Coagulation Test",400
"Anticoagulants, Standard of care",NCT04416048,NCT04416048,Confirmed,"Outpatient, Hospital","Mortality, Clinical Improvement Score (Any), Non-invasive Ventilation, Deep Vein Thrombosis or Pulmonary Embolism, Coagulation Test",400
"Anticoagulants, Standard of care",NCT04416048,NCT04416048,Confirmed,"Outpatient, Hospital","Mortality, Clinical Improvement Score (Any), Non-invasive Ventilation, Deep Vein Thrombosis or Pulmonary Embolism, Coagulation Test",400
"Standard of care, Vaccine",NCT04677660,NCT04677660,Healthy,Healthy Unexposed,"Adverse Events, Antibodies",200
"Standard of care, Vaccine",NCT04677660,NCT04677660,Healthy,Healthy Unexposed,"Adverse Events, Antibodies",200
"Antirheumatic, Other",NCT04708236,NCT04708236,Confirmed,Hospital,"Non-invasive Ventilation, Adverse Events, Antibodies",18
"Standard of care, Vaccine",NCT04695652,NCT04695652,Healthy,Healthy Unexposed,Adverse Events,3700
"Standard of care, Vaccine",NCT04695652,NCT04695652,Healthy,Healthy Unexposed,Adverse Events,3700
"Standard of care, Vaccine",NCT04695652,NCT04695652,Healthy,Healthy Unexposed,Adverse Events,3700
"Standard of care, Vaccine",NCT04695652,NCT04695652,Healthy,Healthy Unexposed,Adverse Events,3700
"Ivermectin, Standard of care",NCT04681053,NCT04681053,Confirmed,Unclear,Pneumonia or ARDS,80
"DAA, Standard of care",NCT04535869,NCT04535869,Confirmed,Unclear,Pneumonia or ARDS,50
"Other, Standard of care",NCT04365699,NCT04365699,NA,Hospital,"Hospitalization, Invasive Mechanical Ventilation or ECMO, Adverse Events, Cardiac Outcome (Unspecified)",10
"JAKi, Standard of care",NCT04415151,NCT04415151,Confirmed,Hospital,"Mortality, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Adverse Events",60
"Antirheumatic, Standard of care",NCT04504734,NCT04504734,Confirmed,Outpatient,"Mortality, Hospitalization, Adverse Events",1000
"Antirheumatic, Standard of care",NCT04504734,NCT04504734,Confirmed,Outpatient,"Mortality, Hospitalization, Adverse Events",1000
"Antirheumatic, Standard of care",NCT04504734,NCT04504734,Confirmed,Outpatient,"Mortality, Hospitalization, Adverse Events",1000
"Antirheumatic, Standard of care",NCT04504734,NCT04504734,Confirmed,Outpatient,"Mortality, Hospitalization, Adverse Events",1000
"Antirheumatic, Standard of care",NCT04504734,NCT04504734,Confirmed,Outpatient,"Mortality, Hospitalization, Adverse Events",1000
"Antirheumatic, Standard of care",NCT04504734,NCT04504734,Confirmed,Outpatient,"Mortality, Hospitalization, Adverse Events",1000
"Colchicine + Standard of care, Standard of care",NCT04539873,NCT04539873,Confirmed,Hospital,NA,128
"Standard of care, Triterpenes",NCT04494646,NCT04494646,Confirmed,Hospital,"Mortality, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Renal Outcome (Unspecified)",40
"Standard of care, Triterpenes",NCT04494646,NCT04494646,Confirmed,Hospital,"Mortality, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, Renal Outcome (Unspecified)",40
"Other, Standard of care",NCT04333472,NCT04333472,Confirmed,Hospital,"Mortality, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Adverse Events, Treatment-emergent Adverse Events, Serious Adverse Events, PaO2-FiO2",40
IFN + Rintatolimod,NCT04379518,NCT04379518,Confirmed,Outpatient,"Mortality, Hospitalization, Viral Load or Clearance, Adverse Events",44
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
"Standard of care, Vaccine",NCT04611802,NCT04611802,Healthy,Healthy Exposed,"Mortality, Serious Adverse Events, Angiotensins, ACE, ACE-II, IgG, IgM or IgA, Antibodies",30000
