nct_id,id,intervention_type,name,description
NCT04523090,12308373,Drug,placebo,placebo pills with no active ingredient.
NCT04523012,12308378,Other,seroprevalence of sars-cov-2 infection in patients with hiv infection,"on inclusion, after information and collection of the non-objection, a blood sample (d0) will be taken during the assessment of the hiv infection (no unplanned sample will be taken) and a control to determine the appearance or the persistence of antibodies will be made at m6 and m12 always as part of the assessment of hiv infection."
NCT04522986,12308380,Biological,mesenchymal stromal cells,"1*10^8 cells are administered once a week, total four times intravenously."
NCT04273581,12341195,Drug,thalidomide,100mg/d，qn，for 14 days.
NCT04522817,12308399,Biological,clbs119,peripheral blood derived autologous cd34+ cells
NCT04522492,12308438,Behavioral,internet-based cognitive behavioral therapy,"2 booster sessions of cognitive behavioral therapy (cbt) delivered thru internet to patients previously treated with cbt. first session focus on understanding the symptoms of skin picking and training techniques to reverse the habit. second session focus on comorbid symptoms of anxiety and depression, training strategies to improve it."
NCT04522492,12308439,Other,quality of life promotion,"2 videos about quality of life promotion will be send to patients in the active control arm. in the first week, the videos will consist in: social support techniques and sleep hygiene. after one week, 2 another videos will be send, consisting in: guide about healthy diet and about physical exercise."
NCT04522466,12308441,Drug,hydroxychloroquine,"hydroxychloroquine (hcq) will be administered as usual practice: dosage is adjusted to maintain a concentration between 1 and 2 mg/l.~measure pharmacokinetics and pharmacodynamics of hydroxychloroquine (hcq)."
NCT04522310,12308461,Other,mr-pro-adm,dosage of mr-pro-adm
NCT04522128,12308487,Behavioral,behaviour change technique intervention to improve quality of life,"the intervention targets each facet of the five domains of whoqol combi. the intervention is based on the com-b framework (michie et al., 2012) and utilises behaviour change techniques to help participants change their behaviour to improve their quality of life.~the intervention will be compared to an active comparator 'feedback intervention' and a waitlist control group."
NCT04522089,12308490,Biological,adimrsc-2f,"adimrsc-2f is a candidate vaccine against covid-19 developed by adimmune corporation (adimmune). using the baculovirus-insect cells expression system, the recombinant receptor binding domain (rbd) of sars-cov-2 spike (s) protein is amplified and purified. adimrsc-2f is formulated in the different dosages of spike (s) protein without/with aluminum content as adjuvant."
NCT04522037,12308493,Other,no intervention/observational,respiratory rate is analyzed with the scope (approved by the french national medical authorities)
NCT04521400,12308565,Drug,high dose interferon-beta 1a,"high dose ifn-β1a (recigen) (subcutaneous injections of 88μg (24,000 iu) on days 1, 3, 6)"
NCT04521400,12308566,Drug,lopinavir/ritonavir,lopinavir/ritonavir (kaletra) [ifn-β1a group] (400mg/100 mg twice a day for 10 days
NCT04521400,12308567,Drug,high dose interferon-beta 1a,"low doseifn-β1a (recigen) (subcutaneous injections of 44μg (12,000 iu) on days 1, 3, 6)"
NCT04521322,12308578,Drug,iota-carrageenan,participants will received a nasal spray with iota-carrageenan or placebo 4 times a day during 21 days
NCT04521296,12308580,Drug,dwj1248,"orally, 2 tablets of dwj1248 tid, up to 14 days"
NCT04521296,12308581,Drug,placebo,"orally, 2 tablets of placebo tid, up to 14 days"
NCT04521036,12308606,Biological,convalescent plasma,patients in the treatment group will receive 500 ml from covid-19 recovered donors
NCT04521010,12308609,Other,covid-19 pandemic,"the aim of the study was to evaluate the staff absenteeism in the initial period of the covid-19 pandemic at wiktor dega orthopedic and rehabilitation clinical hospital in poznań poznań as well as to assess the level of performance of medical services that were assigned to the hospital under contract with national health fund, the payer of public health services in poland."
NCT04520880,12308626,Diagnostic Test,testing procedure for binding antibodies,"levels of s-specific and n-specific binding antibodies will be measured by enzyme immune-sorbent assay (elisa). briefly, a purified, recombinant s or n proteins will be coated into 96-well plates and incubated for 1 hour at room temperature. the plates will be then washed with 1x pbs five times. the unbound regions of the coated s proteins are blocked by 5% non-fat dry milk. after overnight incubation at 4 c. the plates are washed several times with 5x pbs. patients sera samples are added in duplicate and incubated for 1 hour at room temperature. after several washes. anti-human igg hrp conjugate is added. after 1-hour incubation at room temperature, the plates are washed with 1x pbs five times 3,3', 5,5' tetramethylbenzidine (tmb) substrate is added to each wells and incubated for 5 minutes. the reaction will be then stopped with 0.2 m sulfuric acid and the absorbance is measured at 450nm."
NCT04520880,12308627,Diagnostic Test,neutralizing antibodies,"neutralizing antibodies against the s protein of sars-cov-2 are measured by pv microneutralization assay. briefly, individual plasmids expressing s.fl gene, luciferase genes, and reporter genes are co-transfected into 293t cells to produce luciferase-expressing pseudo-viruses. then, pseudo-viruses are added at equal volume into 96 well plates and incubated at 37 for 1 hour. then, the ace2 expressing 293t cells are added into the 96well pates with 100 ul of patients' sera in duplicates. after, a single round of replication the cells are lysed with lysis buffer. luciferase activity is measured by the luciferase assay kit. the activity of luciferases is proportional to the number of cells infected. luciferase activity is then measured by the luminometer device and the neutralization rate is calculated."
NCT04411433,12929374,Drug,hydroxychloroquine combined with azithromycin,"drug: hydroxychloroquine combined with azithromycin hydroxychloroquine dosage and method of administration for patients with mild possible or confirmed covid-19 pneumonia (no severe pneumonia symptoms): in a regimen of 2x400 mg (oral) loading dose on day-1 followed by 400 mg maintenance dose (2x200 mg oral, 2 times daily) on day-2 to day-5 (5 days in total).~hydroxychloroquine dosage and method of administration for patients with uncomplicated possible or confirmed covid-19: in a regimen of 400 mg (2x200 mg oral, 2 times daily) throughout 5 days (5 days in total).~azithromycin dosage and method of administration: in a regimen of 1x500 mg (oral) loading dose on day-1 followed by 250 mg maintenance dose (oral daily) on day-2 to day-5 (5 days in total)."
NCT04407143,12929396,Diagnostic Test,ng test,igg+ blood test by elisa method.
NCT04391179,12929464,Drug,dipyridamole 100 milligram(mg),drug will be given for 14 days while in the hospital.
NCT04391179,12929465,Drug,placebo,placebo will be given for 14 days while in the hospital.
NCT04388826,12929475,Drug,veru-111,"respiratory distress syndrome, adult"
NCT04388683,12929476,Drug,nitric oxide,"subjects will receive ino using the ino pulse device at a dose of 125 mcg/kg ibw/hr (equivalent to approximately 20 ppm). the clinical disease severity will be assessed pre-randomization as the worse of 2 scores measured 2 hours apart. patients eligible for randomization will be those with scores of 1 or 2 (below), and randomization will be stratified according to score (1 or 2). study drug will begin within 1 hour of randomization. beginning on the day following randomization (day 1), we will be calculate clinical score, daily, as the average of 3 measurements taken within 2 hour windows centered at 6am, 2pm, and 10pm."
NCT04388527,12929477,Biological,convalescent plasma,participants will receive 2 units of convalescent plasma collected from abo-compatible donors who have recovered from covid-19.
NCT04364737,12929556,Other,saline,"equivalent volume of saline solution (defined as half-,quarter-, or normal saline) will be administered to eligible candidate as a placebo control group."
NCT04376658,12929516,Other,covid-19,proven or suspected sars-cov-2 infection
NCT04373291,12929523,Biological,bcg-denmark,"participants randomized to receive bcg will receive one 0.1 ml dose of mycobacterium bovis bcg live attenuated bcg-denmark vaccine (aj vaccines, copenhagen, denmark) by intradermal injection in the left deltoid region."
NCT04373291,12929524,Biological,saline,participants randomized to the control group will receive one 0.1 ml dose sterile 0.9 % nacl by intradermal injection in the left deltoid region.
NCT04364737,12929555,Biological,convalescent plasma,"sars-cov-2 convalescent plasma (1-2 units; ~250-500 ml) with antibodies to sars-cov-21 per april 13, 2020 directive by the fda, obtained from new york blood center will be administered to eligible candidate"
NCT04372589,12929527,Drug,heparin,"low molecular weight heparin (lmwh) preferred therapeutic anticoagulant is enoxaparin. generally regimens: 1.5 mg/kg subcutaneous once daily or 1 mg/kg subcutaneous twice daily. alternatively, other subcutaneous lmwh used, including tinzaparin (175 anti-xa iu/kg subcutaneous once daily) or dalteparin (200 iu/kg subcutaneous once daily or 100 iu/kg subcutaneous twice a day).~unfractionated heparin (ufh) commenced, administered, and monitored according to local hospital policy, and guidelines that are used for the treatment of venous thromboembolism (i.e. not for acute coronary syndrome). intravenous infusion of ufh is according to total body weight and pragmatically adjusted according to local institutional policy to achieve an activated partial thromboplastin time (aptt) of 1.5-2.5x the reference value. if ufh is used, the availability of a local hospital policy that has specifies an aptt target in this range or an anti-xa value is a requirement."
NCT04367883,12929546,Drug,ace inhibitor,"if evolution is favorable in patients treated with ace as assessed at the first step of the study, this treatment would be added in a random selection of new admitted patients suffering covid19, and results would be compared to a control group of admitted patients."
NCT04367883,12929547,Drug,arb,"if evolution is favorable in patients treated with arb as assessed at the first step of the study, this treatment would be added in a random selection of new admitted patients suffering covid19, and results would be compared to a control group of admitted patients."
NCT04365153,12929552,Drug,canakinumab injection 600mg,subjects will be given one-time intravenous infusion of 600 mg of canakinumab (8 mg/kg for patients </= 40 kg) in 250 ml of 5% dextrose infused iv over 2 hours
NCT04365153,12929553,Drug,canakinumab injection 600mg,subjects will be given one-time intravenous infusion of 300 mg of canakinumab (4 mg/kg for patients </= 40 kg) in 250 ml of 5% dextrose infused iv over 2 hours
NCT04365153,12929554,Drug,placebo,250 ml of 5% dextrose infused iv over 2 hours
NCT04363346,12929557,Drug,ft516,"ft516 is an off-the-shelf cryopreserved nk cell product derived from an ipsc that was transduced with a high affinity, adam17 non-cleavable cd16 (fc receptor) that maintains cd16 on the cell surface, which remains fully functional after nk cell activation."
NCT04358406,12929567,Drug,recombinant human plasma gelsolin (rhu-pgsn),"intravenous administration of rhu-pgsn at 12 mg/kg, 3 doses"
NCT04358406,12929568,Other,placebo,normal saline in matched volume to treatment arm. undistinguishable in syringe.
NCT04351724,12929600,Drug,hydroxychloroquine,"hydroxychloroquine 200mg 2-0-2 on day 1 followed by 200mg 1-0-1, or chloroquine 250mg 2-0-2, as available"
NCT04351724,12929601,Drug,lopinavir/ritonavir,lopinavir/ritonavir 200mg/50mg 2-0-2
NCT04351724,12929602,Other,standard treatment for covid-19,best standard of care
NCT04351724,12929603,Drug,rivaroxaban,"2.5mg 2-0-2 or 10mg 1/2-0-1/2, as applicable"
NCT04351724,12929604,Drug,thromboprophylaxis,"as local standard, most likely to be low molecular weight heparin"
NCT04351724,12929605,Drug,candesartan,"starting dose 4mg once daily, titrated to normotension"
NCT04351724,12929606,Drug,non-ras blocking antihypertensives,"this excludes angiotensin converting enzyme inhibitors (acei) and angiotensin receptor blockers (at-blockers, sartans) and includes alpha-receptor antagonists, calcium antagonists, amongst others"
NCT04351724,12929607,Drug,remdesivir,"200mg on day 1, thereafter 100mg for a total of 5-10 treatment days, according to local standards"
NCT04351724,12929608,Drug,asunercept 25mg,"asunercept 400mg once per week, up to 4 doses in total"
NCT04351724,12929609,Drug,asunercept 25mg,"asunercept 100mg once per week, up to 4 doses in total"
NCT04351724,12929610,Drug,asunercept 25mg,"asunercept 25mg once per week, up to 4 doses in total"
NCT04351724,12929611,Drug,pentaglobin,7ml/kg/day for 12h for 5 days
NCT04346199,12929621,Drug,acalabrutinib,acalabrutinib- administered orally
NCT04345614,12929622,Drug,auxora,auxora will be given at 2.0 mg/kg (1.25 ml/kg) on day 1 and then 1.6 mg/kg (1.0 ml/kg) on days 2 and 3. all doses of auxora will be administered intravenously (iv) over 4 hours.
NCT04345614,12929623,Drug,placebo,placebo will be given at 1.25 ml/kg on day 1 and then 1.0 ml/kg on days 2 and 3. all doses of placebo will be administered intravenously over 4 hours.
NCT04345523,12929625,Other,blood and derivatives.,administration of fresh plasma from donor immunized against covid-19
NCT04345523,12929626,Drug,standard treatment for covid-19,standard of care for the treatment of covid-19 in hospitalized patients
NCT04341584,12929633,Drug,anakinra,"treatment includes the administration of two iv infusions / day of anakinra kineret® 200mg (total 400 mg) at day 1 (d1), d2 and d3, two iv infusions / day of anakinra kineret® 100mg (total 200 mg) at day 4 (d4), and one iv infusion of anakinra kineret® 100mg (total 100 mg) at day 5 (d5).~in case of absence of improvement at d4 (absence of clinical improvement and absence of decrease of crp level > 50%), 3 supplementary days of treatment at 400 mg/day will be done at d4, d5, d6 followed by a decrease at 200 mg/day at d7 and 100 mg/day at d8 and stop thereafter"
NCT04334044,12929651,Drug,baricitinib oral tablet,ruxolitinib 5 mg twice a day
NCT04333732,12929652,Drug,mr or m-m-r ii ® vaccine,education and surveillance plus mr or m-m-r ii ® vaccine
NCT04333732,12929653,Drug,placebo,placebo injection
NCT04729153,12936032,Drug,daad compound,"sofosbuvir , daclatasvir and ribavirin"
NCT04700163,12936180,Biological,c144-ls and c-135-ls,a combination of two highly neutralizing anti-sars-cov-2 mabs targeting two distinct epitopes on the receptor protein binding domain (rbd) of the sars-cov-2 spike protein
NCT04678700,12936266,Other,chest physiotherapy post-covid19,"the sessions are divided into the following modules;~directed abdominal-diaphragmatic ventilation (10 times).~costal expansion exercises with the help of flexion and abduction of the upper limbs. (10 times)(1).~self-passive stretching of the ribcage and neck muscles, accessory to inspiration. the purpose of the stretching will be to increase the flexibility of the muscles to improve the vital capacity as has already been evidenced in other respiratory diseases such as chronic obstructive pulmonary disease (copd) and cystic fibrosis (25)(26).~relaxation time;jacobson's progressive relaxation; we scan the body's condition.~post-session evaluation by taking the respiratory frequency/ min and the borg's dyspnea index, and level oxigen after the exercises."
NCT04678687,12936267,Procedure,"liver, lung, heart and kidney biopsy","liver, lung, heart and kidney biopsies will be performed on each case in the covid-19 group."
NCT04677660,12936282,Biological,tak-919,tak-919 intramuscular injection
NCT04677660,12936283,Biological,placebo,placebo intramuscular injection
NCT04653727,12936378,Other,cross-sectional survey,no intervention.
NCT04649086,12936402,Other,rehabilitation by eccentric exercises,"participants will perform 24 exercises sessions (30 minutes) with cycloergometer in eccentric mode (while resisting against self-paced pedaling), inducing a greater muscular hypertrophy as compared with concentric mode, the mechanical stimulation being 3 to 4 times greater at the same level metabolic stimulation."
NCT04649086,12936403,Other,rehabilitation by eccentric exercises,the control group (concentric) will perform exercise training at an intensity of 60% of the reserve heart rate determined during an initial cardiorespiratory test. the power will be adjusted weekly to stay within the target heart rate range.
NCT04619719,12936536,Device,hyperbaric oxygen therapy,patients assigned to the treatment arm will receive up to 5 treatments of hyperbaric oxygen therapy administered daily at 2.0 atmospheres for 90 minutes per session.
NCT04606498,12936598,Other,no intervention/observational,observational study only - no intervention
NCT04603079,12936610,Behavioral,intervention for covid-19 preventive protocols,"the intervention will comprise (a) digital communication of written material and (b) monthly online training and discussion through skype and zoom, to allow for physical demonstrations, q&a and sharing of challenges. the five specific areas covered in the intervention for covid-19 preventive protocols will include: (1) ppe fitting, (2) ppe removal, (3) hand hygiene, (4) cleaning, disinfection and sterilization, and (5) nurse uniform sterilization."
NCT04585945,12936672,Diagnostic Test,positive for sars-cov-2 infection,"patients that have a positive test for sars-cov-2 infection during pregnancy, including at the time of delivery."
NCT04590547,12936651,Drug,gls-1027,gls-1027 is an oral medication with high bioavailability that has il-6 and il-1β inhibitory activity.
NCT04590547,12936652,Drug,placebo,placebo looks like gls-1027
NCT04581200,12936693,Behavioral,lift,the intervention is a mobile app-based mindfulness training program designed to be used over a 1-month period.
NCT04578158,12936697,Drug,standard treatment for covid-19,patients will receive standard covid-19 care as per the hospital/physician guidelines
NCT04578158,12936698,Dietary Supplement,quercetin phytosome,patients will receive a daily dose of 400 mg of oral quercetin phytosome
NCT04537949,12936856,Biological,bnt162b2,anti-viral rna vaccine for active immunization against covid-19 administered as intramuscular injection (prime/boost (p/b) regimen).
NCT04529499,12936884,Drug,avigan,patients will be randomized to the favipiravir + supportive care group in a 1:1 ratio
NCT04529499,12936885,Drug,placebo,patients will be randomized to the placebo + supportive care group in a 1:1 ratio
NCT04525417,12936899,Diagnostic Test,aaz covid-19 rapid test,to assess the immune status
NCT04511949,12936937,Diagnostic Test,"covid-19 igg / igm rapid test (whole blood, serum, plasma)","the rapid test is performed using a drop of blood obtained at the fingertip (10 microliters) using a lancet.~the dropper pipette, held vertically, collects the drop of whole blood up to the sample line~place 1 drop of whole blood (10 μl in the sample well (s) of the cassette.~immediately add 2 drops (80μl) of buffer to the well (b) of the cassette.~avoid air bubbles; if there is an air bubble, add a 3rd drop of buffer.~the reading is taken after 10 minutes at most by the healthcare professional under medical supervision.~in case of sepositivity of the rapid test, it may be offered to index cases and adult contacts, a blood sample of 5 ml of blood for a serothèque allowing a characterization of the antibodies and in particular of the neutralizing antibodies."
NCT04498416,12936979,Diagnostic Test,quantitative and qualitative assessments of mental health,emergency semi-directed interview; diagnosis infant and preschool assessment (dipa); kiddie schedule for affective disorders and schizophrenia (k-sads); conners scale - short version;weiss functional impairment rating scale - parent (wfirs); parenting stress index-short form (psi-sf); anxiety scale
NCT04476706,12937057,Drug,clazakizumab,canakinumab
NCT04446429,12937167,Drug,proxalutamide,200 mg q.d.
NCT04446429,12937168,Other,standard treatment for covid-19,standard of care as determined by the pi
NCT04445272,12937171,Drug,tocilizumab,treatment with tocilizumab
NCT04440007,12937192,Drug,abivertinib,abivertinib maleate is a third-generation egfr tyrosine kinase inhibitor and btk inhibitor. the starting dose is 200 mg p.o. qd for up to 28 days.
NCT04440007,12937193,Other,standard treatment for covid-19,standard of care as determined by the investigator
NCT04438863,12937196,Diagnostic Test,home spirometry,"portable hand-held spirometer to collect and store daily spirometric data (including fvc, fev1, forced expiratory flow after 25 to 75% of vital capacity has been expelled, and peak flow)."
NCT04409821,12937279,Behavioral,tele-delivered psychological intervention,"the intervention consists of two (or one, if preferred by caregivers) weekly tele-sessions during the icu stay, lasting up to 30 minutes, and two sessions in the month after discharge from or death in the icu. sessions will be conducted via phone-calls or video-conferencing. therapists will 1) validate caregivers' subjective experience, 2) normalize and psychoeducate about emotional reactions, and 3) offer emotion regulation drawing on contemporary cognitive treatment packages of decentering, acceptance and emotion tolerance. sessions for bereaved caregivers will include psycho-education about grief, assessment of risk for adverse outcomes and information about available support, if needed. the intervention will be performed based on an intervention manual. the content of the intervention will be continually adapted and tailored to the needs of the participating caregivers by involving all caregivers in co-creating the intervention trough brief post-session interviews."
NCT04384731,12937362,Drug,poractant alfa,"patient receiving surfactant (3 ml/kg of a poractant alpha solution diluted to 16 mg/ml, resulting in a total dose of 48mg/kg) administred by bronchial fibroscopy. the total volume will be divided in each of the five lobar bronchi."
NCT04380701,12937379,Biological,bnt162b2,anti-viral rna vaccine for active immunization against covid-19 administered as intramuscular injection.
NCT04380701,12937380,Biological,bnt162b2,anti-viral rna vaccine for active immunization against covid-19 administered as intramuscular injection.
NCT04380701,12937381,Biological,bnt162b2,anti-viral rna vaccine for active immunization against covid-19 administered as intramuscular injection.
NCT04380701,12937382,Biological,bnt162b2,anti-viral rna vaccine for active immunization against covid-19 administered as intramuscular injection.
NCT04353180,12937462,Drug,standard treatment for covid-19,standard treatment is according to the protocol of treatment of 2019-ncov infection
NCT04369469,12937417,Biological,tocilizumab,"weight-based doses of ravulizumab will be administered intravenously on days 1, 5, 10, and 15."
NCT04369469,12937418,Other,best supportive care,"patients will receive medications, therapies, and interventions per standard hospital treatment protocols."
NCT04369066,12937419,Diagnostic Test,blood samples (collection of 5 ml of blood in a dry tube),"a nurse will take blood samples under safe conditions compatible with the pandemic period and while respecting the protection of the volunteer's personal data.~the blood samples will be taken at 4 times for institute curie and institute pasteur: t0, between 6 weeks and 3 months ,6 months and 12 months post-inclusion.~for volunteers already included at institute curie : in case of proved (rt-pcr+ or antigenic +) or very likely (anosmia and/or ageusia, and/or digestive syndrome with associated respiratory signs) between 2 sampling times already planned in the flow chart, blood samples shall be performed, if time since last planned sampling(s) has been more than 3 weeks or if time until next sampling(s) is more than 3 weeks.~the serum samples will be extracted and collected prospectively from the blood samples.~for each blood sample, a sample number will be assigned by the laboratory management system of the department of biology at institut curie."
NCT04369066,12937420,Diagnostic Test,nasopharyngeal swab,"the nasopharyngeal swabs will be performed between 6 weeks and 3 months, 6 months and 12 months post-inclusion for institute curie staff with at least one of the following criteria: have had rt-pcr+, and/or presence of antibodies at the 95% threshold, and/or anosmia/ageusia, and/or digestive syndrome with associated respiratory signs.~the nasopharyngeal swab shall also be proposed to volunteers not meeting the above listed criteria to have a control group (about 100 volunteers).~for volunteers already included at institute curie : in case of proved (rt-pcr+ or antigenic +) or very likely (anosmia and/or ageusia, and/or digestive syndrome with associated respiratory signs) infection between 2 sampling times, nasopharyngeal swabs shall be performed if time since last planned sampling(s) has been more than 3 weeks or if time until next sampling(s) is more than 3 weeks.~the nasopharyngeal swabs will be performed at t0 for institute pasteur staff so 4 times in total."
NCT04358926,12937440,Device,hyperbaric oxygen therapy,8 sessions in 4 days of breathing 100% oxygen in 2.2 ata. each session is 60 minutes. 1 meter/minute compression/decompression
NCT04357769,12937443,Other,pss (perceived stress scale),self-administered scale for the evaluation of the stress perceived by the subject in the last weeks
NCT04357769,12937444,Other,gad-7 (7-item generalized anxiety disorder),self-administered scale for the evaluation of anxiety symptoms in the last weeks
NCT04357769,12937445,Other,phq-9 (9-item patient health questionnaire),self-administered scale for the evaluation of depressive symptoms in the last weeks
NCT04357769,12937446,Other,speq (specific psychotic experiences questionnaire) - paranoia and grandiosity subscales,self-administered scale for the evaluation of sub-threshold psychotic symptoms in the last weeks
NCT04357769,12937447,Other,zaritt burden interview,self-administered scale for the evaluation of severe mental disorder patients' caregiver burden
NCT04353180,12937458,Drug,drug isotretinoin (13 cis retinoic acid ) capsules+standard treatment,"after three days of randomization and standard treatment , 13 cis retinoic acid (0.5 mg/kg/day in 2 divided doses orally for 14 days.+standard treatment~standard treatment is according to the protocol of treatment of 2019-ncov infection"
NCT04353180,12937459,Drug,isotretinoin(aerosolized 13 cis retinoic acid) +standard treatment,"drug: after three days of randomization and standard treatment , aerosolized 13 cis retinoic acid in gradual two doses increase froms 0.2 mg/kg/day to 4 mg/kg/day as inhaled 13 cis retinoic acid therapy for 14 days +standard treatment~standard treatment is according to the protocol of treatment of 2019-ncov infection"
NCT04353180,12937460,Drug,isotretinoin (13 cis retinoic acid ) capsules,13 cis retinoic acid (0.5 mg/kg/day in 2 divided doses orally for 14 days
NCT04353180,12937461,Drug,aerosolized 13 cis retinoic acid,aerosolized 13 cis retinoic acid in gradual two doses increase froms 0.2 mg/kg/day to 4 mg/kg/day as inhaled 13 cis retinoic acid therapy for 14 days
NCT04334434,12937498,Other,telerehabilitation,15 volunteers over 65 years old who are at home during the social isolation process due to the coronavirus outbreak will be included in this group. an online exercise protocol was created for individuals who will participate in the study. each exercise session was planned as 30 minutes for 3 days a week for 4 weeks. it was planned to start the protocol with warm-up exercises and finish with cooling exercises. the exercise protocol was additionally determined as a combination of aerobic and strengthening exercises. individuals were asked to participate in the study via skype and aimed to do their exercises with a physiotherapist
NCT04325061,12937522,Drug,dexamethasone,"dexamethasone (20 mg/iv/daily/from day 1 of randomization during 5 days, followed by 10 mg/iv/daily from day 6 to 10 of randomization"
NCT04315948,12937550,Drug,remdesivir,"the lyophilized formulation of remdesivir is a preservative-free, white to off-white or yellow, lyophilized solid containing 100 mg of remdesivir to be reconstituted with 19 ml of sterile water for injection and diluted into iv infusion fluids prior to iv infusion. following reconstitution, each vial contains a 5 mg/ml remdesivir concentrated solution with sufficient volume to allow withdrawal of 20 ml (100 mg of remdesivir). it is supplied as a sterile product in a single-use, 30 ml, type 1 clear glass vial."
NCT04315948,12937551,Drug,lopinavir/ritonavir,"the oral tablets of lopinavir/ritonavir contain 200 mg lopinavir, 50 mg ritonavir. they have a yellow colour, film-coated, ovaloid shape debossed with the a logo and the code ka. the oral solution for patients who cannot swallow is a light yellow to orange colored liquid containing 400 mg lopinavir and 100 mg ritonavir per 5 ml (80 mg lopinavir and 20 mg ritonavir per ml)."
NCT04315948,12937552,Drug,interferon beta-1a,"ifn-ß-1a is supplied as a sterile solution containing no preservative available in a prefilled syringe. it will be provided as a single-dose prefilled graduated syringe with 44 µg per 0.5 ml. the liquid should be clear to slightly yellow. do not use if the liquid is cloudy, discolored or contains particles. use a different syringe."
NCT04315948,12937553,Drug,hydroxychloroquine,"hydroxychloroquine is supplied as film-coated 200 mg tablets. hydroxychloroquine sulfate tablets are presented as white or whitish, peanut-shaped, oblong or round film-coated tablets containing 200 mg of hydroxychloroquine sulfate (equivalent to 155 mg base)."
NCT04315948,12937554,Other,standard treatment for covid-19,standard of care.
NCT04730895,12942222,Drug,oral 13 cis retinoic acid,dose of 0.5 mg/kg/day in 2 divided doses orally for 14 days
NCT04730895,12942223,Drug,aerosolized 13 cis retinoic acid,dose of aerosolized 13 cis retinoic acid in gradual in 2 divided doses increases froms 0.2 mg/kg/day to 4 mg/kg/day
NCT04730895,12942224,Combination Product,13 cis retinoic acid doses orally in combination with spike protein based vaccine,"dose of 13 cis retinoic acid (0.5 mg/kg/day in 2 divided doses orally for 14 days and also, participants will receive two doses of 5-7.5x10^10 vp spike protein based vaccine such as chadox1 ncov-19 vaccine in deltoid of non-dominant arm, 28 days apart"
NCT04730895,12942225,Combination Product,aerosolized 13 cis retinoic acid in combination with spike protein based vaccine,"dose of aerosolized 13 cis retinoic acid in gradual in 2 divided doses increases from 0.2 mg/kg/day to 4 mg/kg/day for 14 days and also, participants will receive two doses of 5-7.5x10^10 vp spike protein based vaccine such as chadox1 ncov-19 vaccine in deltoid of non-dominant arm, 28 days apart"
NCT04730895,12942226,Biological,biological: spike protein based vaccine such as chadox1 ncov-19 vaccine,"dose of 5-7.5x10^10vp of spike protein based vaccine such as chadox1 ncov-19 in deltoid of non-dominant arm, 28 days apart"
NCT04726176,12942248,Biological,exposure to covid-19,to study the exposure of covid-19 on the brain and executive functioning
NCT04703036,12942331,Dietary Supplement,glycine,glycine is an amino-acid (protein)
NCT04703036,12942332,Dietary Supplement,n-acetylcysteine,this is a donor of the amino-acid cysteine (protein)
NCT04703036,12942333,Dietary Supplement,alanine,alanine is an amino-acid (protein)
NCT04695652,12942357,Biological,mvc-cov1901(s protein with adjuvant),approximately 3180 participants will receive 2 doses of mvc-cov1901(s-2p protein with adjuvant) at visit 2 (day 1) and visit 4 (day 29) via intramuscular (im) injection in the deltoid region
NCT04695652,12942358,Biological,saline,approximately 530 participants will receive 2 doses of mvc-cov1901(saline) at visit 2 (day 1) and visit 4 (day 29) via im injection in the deltoid region
NCT04685629,12942375,Diagnostic Test,25 post non-icu patients,patients who were hospitalized in an intensive care unit
NCT04685629,12942376,Other,25 post non-icu patients,patients who were not hospitalized in an intensive care unit
NCT04668911,12942423,Other,swab,"pcr test for sars-cov2, oral and nasal swab"
NCT04664309,12942436,Other,no intervention/observational,no intervention
NCT04663555,12942440,Drug,dexamethasone,"patients in the intervention group after randomization will receive dexamethasone 20 mg intravenously once daily on day 1-5, followed by dexamethasone 10 mg intravenously once daily on day 6-10. if successful extubation occurs before day 10, treatment with dexamethasone is withdrawn."
NCT04647747,12942485,Other,self measurement with pulse oximeter,"participant will measure peripheral saturation at home, conduct physiotherapy if desaturation occurs, and contact hospital if desatuation persists"
NCT04611802,12942603,Biological,sars-cov-2 rs/matrix-m1 adjuvant,alternating intramuscular (deltoid) injections of sars-cov-2 rs co-formulated with matrix-m1 adjuvant (0.5 ml) on days 0 and 21.
NCT04611802,12942604,Other,placebo,alternating intramuscular (deltoid) injections of placebo (0.5 ml) on days 0 and 21.
NCT04611399,12942605,Behavioral,vr for psychoeducation and relaxation,"use of specifically developed vr contents to deliver psychoeducational content on stress and anxiety (i.e., mind-vr) and to train on relaxation techniques (i.e., covid feel good)."
NCT04611399,12942606,Behavioral,text material for psychoeducation and audio for relaxation techniques,"use of non-immersive contents to deliver psychoeducation on stress and anxiety (i.e., a powerpoint presentation containing the same words and images in static form on a desktop of virtual psychoeducational content), and to train on relaxation techniques (i.e.,listening to an audio for relaxation)"
NCT04609774,12942610,Other,severe acute respiratory syndrome coronavirus 2 detection,severe acute respiratory syndrome coronavirus 2 detection by real-time polymerase chain reaction and cell culture
NCT04607915,12942612,Behavioral,intervention for tecc model,"the care coordinator (cc) will provide brief coaching sessions (15 to 20 minutes) to each participant once per week for 8 weeks. participants can identify topics for discussion and the cc and participant can decide if a video session via webex is required versus a phone call. also, participants will be given peer support and will be indirectly monitored by a virtual care team of experts."
NCT04604249,12942619,Diagnostic Test,"sars-cov-2 rapid diagnostic test (covid-presto® igm/igg, aaz, boulogne-billancourt, france)",presence of specific sars-cov-2 antibodies (igm or igg).
