nct_id,DRUGNAME,DRUGTYPE,DISEASES,DRUGSTAT,TARGNAME
NCT04647695,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04647695,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04647669,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04647669,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04647669,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04647669,acalabrutinib,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN bruton tyrosine kinase (BTK)      BTK_HUMAN
NCT04647669,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04646109,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04636671,methylprednisolone,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04635943,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04635241,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04634370,natural killer cells,Cell therapy,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1/2 Clinical Trial,
NCT04633772,angiotensin,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04632706,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04519385,tocilizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R)     IL6RA_HUMAN; IL6RB_HUMAN
NCT04516941,colchicine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04516915,imu-838,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,HUMAN dihydroorotate dehydrogenase (DHODH)      PYRD_HUMAN
NCT04516915,oseltamivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04516811,rhace2,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN angiotensin-converting enzyme 2 (ACE2)    ACE2_HUMAN
NCT04510662,telmisartan,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN type-1 angiotensin II receptor (AGTR1)    AGTR1_HUMAN
NCT04510493,clazakizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN interleukin 6 (IL6)       IL6_HUMAN
NCT04505774,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04505774,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04501783,favipiravir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04499677,favipiravir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04499677,lopinavir + ritonavir,Combination drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 3C-like protease (3CLpro)      R1AB_SARS2 (3CLpro)
NCT04499313,methylprednisolone,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04498936,nitazoxanide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04497948,acalabrutinib,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN bruton tyrosine kinase (BTK)      BTK_HUMAN
NCT04497519,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04494724,clazakizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN interleukin 6 (IL6)       IL6_HUMAN
NCT04494399,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04494399,ribavirin,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04494399,ribavirin,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04494399,ribavirin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,HUMAN inosine-5'-monophosphate dehydrogenase 2 (IMPDH2) IMDH2_HUMAN
NCT04493359,angiotensin,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04492358,colchicine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04380961,sirukumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN interleukin 6 (IL6)       IL6_HUMAN
NCT04703608,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04428268,chloroquine,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,
NCT04428268,chloroquine,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,
NCT04428268,chloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04421027,baricitinib,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN cyclin G-associated kinase (GAK)  GAK_HUMAN
NCT04412291,anakinra,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-1 receptor 1 (IL1R1)  IL1R1_HUMAN
NCT04412291,tocilizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R)     IL6RA_HUMAN; IL6RB_HUMAN
NCT04716569,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04642638,ino-4800,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1 Clinical Trial,
NCT04600141,tocilizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R)     IL6RA_HUMAN; IL6RB_HUMAN
NCT04600141,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04600141,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04583969,lenzilumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN colony-stimulating factor (GM-CSF)        CSF2_HUMAN
NCT04583969,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04583969,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04583969,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04583956,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04583956,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04583956,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04539262,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04539262,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04539262,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04510194,metformin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,HUMAN mannose receptor (MRC1)   MRC1_HUMAN
NCT04510038,colchicine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04464408,favipiravir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04405739,eidd-2801,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04405570,eidd-2801,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04360096,aviptadil,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04334148,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04727424,fluvoxamine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04727424,metformin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,HUMAN mannose receptor (MRC1)   MRC1_HUMAN
NCT04727775,favipiravir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04727775,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04727775,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04727775,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04724629,colchicine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04723563,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04720612,tocilizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R)     IL6RA_HUMAN; IL6RB_HUMAN
NCT04718480,fluvoxamine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04718285,favipiravir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04714515,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04714515,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04712279,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04711863,fluvoxamine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04492501,tocilizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R)     IL6RA_HUMAN; IL6RB_HUMAN
NCT04492501,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04492501,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04492501,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04492501,mesenchymal stem cells,Cell therapy,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04490239,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04489446,sildenafil,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN phosphodiesterase type 5 (PDE5)   PDE5A_HUMAN
NCT04488081,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04488081,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04488081,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04487990,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04487886,duvelisib,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN PI3-kinase gamma (PIK3CG) PK3CG_HUMAN
NCT04485429,methylprednisolone,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04485429,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04485130,disulfiram,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV papain-like proteinase (PL-PRO)        R1AB_CVHSA (PL-PRO)
NCT04485130,disulfiram,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV papain-like proteinase (PL-PRO)        R1AB_CVEMC (PL-PRO)
NCT04485130,disulfiram,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,COVID-19 papain-like proteinase (PL-PRO)        R1AB_SARS2 (PL-PRO)
NCT04483960,camostat mesylate,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04483960,camostat mesylate,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04483960,camostat mesylate,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04482686,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04479358,tocilizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R)     IL6RA_HUMAN; IL6RB_HUMAN
NCT04479358,tocilizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R)     IL6RA_HUMAN; IL6RB_HUMAN
NCT04477993,ruxolitinib,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN janus kinase 2 (JAK-2)    JAK2_HUMAN
NCT04477083,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04476992,nitric oxide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04476992,nitric oxide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04476979,tocilizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R)     IL6RA_HUMAN; IL6RB_HUMAN
NCT04473053,camostat mesylate,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04473053,camostat mesylate,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04473053,camostat mesylate,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04470544,camostat mesylate,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04470544,camostat mesylate,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04470544,camostat mesylate,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04469491,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04467931,angiotensin,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04467931,angiotensin,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04467931,angiotensin,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04467047,mesenchymal stromal cells,Cell therapy,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04466670,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04466670,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04466540,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04466280,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04466098,mesenchymal stromal cells,Cell therapy,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04465695,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04463264,nitazoxanide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04462757,anakinra,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-1 receptor 1 (IL1R1)  IL1R1_HUMAN
NCT04461353,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04461340,sirolimus,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN mammalian target of rapamycin (mTOR)      MTOR_HUMAN
NCT04460547,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04460547,das181,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04460547,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04460547,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04460183,nitric oxide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04459702,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04459702,azithromycin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04459702,lopinavir,Small molecular drug,Severe acute respiratory syndrome (SARS),Preclinical Drug,SARS-CoV 3C-like protease (3CLpro)      R1AB_CVHSA (3CLpro)
NCT04459702,lopinavir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Preclinical Drug,MERS-CoV 3C-like proteinase (3CLpro)    R1AB_CVEMC (3CLpro)
NCT04459676,rhace2,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN angiotensin-converting enzyme 2 (ACE2)    ACE2_HUMAN
NCT04458948,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04458948,azithromycin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04457609,oseltamivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04457609,azithromycin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04457609,mesenchymal stem cells,Cell therapy,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04456361,mesenchymal stem cells,Cell therapy,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04455958,lopinavir + ritonavir,Combination drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 3C-like protease (3CLpro)      R1AB_SARS2 (3CLpro)
NCT04455815,camostat mesylate,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04455815,camostat mesylate,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04455815,camostat mesylate,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04455243,n-acetylcysteine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04629105,mesenchymal stem cells,Cell therapy,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04628143,camostat mesylate,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04628143,camostat mesylate,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04628143,camostat mesylate,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04627467,chloroquine,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,
NCT04627467,chloroquine,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,
NCT04627467,chloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04626089,metformin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,HUMAN mannose receptor (MRC1)   MRC1_HUMAN
NCT04625985,metformin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,HUMAN mannose receptor (MRC1)   MRC1_HUMAN
NCT04625738,mesenchymal stem cells,Cell therapy,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04625114,camostat mesylate,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04625114,camostat mesylate,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04625114,camostat mesylate,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04625114,camostat mesylate,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04625114,camostat mesylate,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04625114,camostat mesylate,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04622891,azithromycin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04619680,nintedanib,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04613271,favipiravir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04613271,azithromycin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04610541,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04610541,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
